,k,Epoch,Train_MSE,Val_MSE,Test_MSE,Train_MAE,Val_MAE,Test_MAE,Learning_rate,Train_R2,Val_R2,Test_R2,Train_Pearson,Val_Pearson,Test_Pearson,Train_Loss,Val_Loss,Test_Loss
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,0.018608136102557182,0.01893749088048935,0.018964162096381187,0.10808711498975754,0.10891589522361755,0.10705027729272842,0.001,0.12371844053268433,0.11145514249801636,-0.015674114227294922,0.3532867431640625,0.33635926246643066,0.21442918479442596,0.009300863103806433,0.00945915397079218,0.009532254019921476
2,2,2,0.017259733751416206,0.017854755744338036,0.016180843114852905,0.10479453206062317,0.10644170641899109,0.09978131949901581,0.001,0.1872166395187378,0.1622568964958191,0.13339358568191528,0.43621817231178284,0.40366315841674805,0.37040120363235474,0.008629694090123815,0.008914956878427239,0.008104873524809425
3,2,3,0.016655215993523598,0.017516490072011948,0.016305258497595787,0.10056672990322113,0.10356929153203964,0.09909922629594803,0.001,0.2156844139099121,0.17812836170196533,0.12673026323318481,0.4756554961204529,0.4331880509853363,0.396110862493515,0.008328298331204667,0.008743788758736281,0.008153840264474804
4,2,4,0.01601160503923893,0.017160499468445778,0.015487541444599628,0.10070592910051346,0.10435851663351059,0.09785927832126617,0.001,0.2459925413131714,0.19483143091201782,0.1705251932144165,0.5005199909210205,0.4484149217605591,0.4209865629673004,0.008008940580177558,0.008567084902010504,0.00773683897304264
5,2,5,0.015306854620575905,0.016608886420726776,0.015412269160151482,0.09636836498975754,0.10097473114728928,0.09637148678302765,0.001,0.2791801691055298,0.22071301937103271,0.17455655336380005,0.5332666635513306,0.4741211533546448,0.44211244583129883,0.007653903502252805,0.00829255626359511,0.007694495418532329
6,2,6,0.014908257871866226,0.016382595524191856,0.01537407748401165,0.09393613040447235,0.09950944781303406,0.0960344597697258,0.001,0.297950804233551,0.2313305139541626,0.1766020655632019,0.5579800009727478,0.49432405829429626,0.4513775408267975,0.007454807780323976,0.008178885859836425,0.007690555670044639
7,2,7,0.014225468970835209,0.01605900004506111,0.014723637141287327,0.09270749986171722,0.09957480430603027,0.09494370222091675,0.001,0.33010411262512207,0.24651354551315308,0.21143800020217896,0.5752075910568237,0.4981137216091156,0.4683000445365906,0.007110815742109196,0.008019012853591925,0.007346688388762149
8,2,8,0.014538943767547607,0.016325201839208603,0.015473077073693275,0.09295277297496796,0.09964042901992798,0.09666021168231964,0.001,0.31534212827682495,0.23402345180511475,0.17129981517791748,0.5695109367370605,0.5001222491264343,0.46182283759117126,0.007270918816821762,0.008150181666548763,0.007703211454843933
9,2,9,0.014646661467850208,0.016500797122716904,0.015892185270786285,0.09128912538290024,0.09880192577838898,0.09704648703336716,0.001,0.31026923656463623,0.22578448057174683,0.14885342121124268,0.6104975342750549,0.5395174026489258,0.5102888345718384,0.00732529382165297,0.008236206225341275,0.007960617542266846
