,k,Epoch,Train_MSE,Val_MSE,Test_MSE,Train_MAE,Val_MAE,Test_MAE,Learning_rate,Train_R2,Val_R2,Test_R2,Train_Pearson,Val_Pearson,Test_Pearson,Train_Loss,Val_Loss,Test_Loss
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10,1,0.021528739482164383,0.022110287100076675,0.025287460535764694,0.12209174782037735,0.1239430233836174,0.13487643003463745,0.001,-0.014560818672180176,-0.04557991027832031,-0.22663426399230957,0.33970969915390015,0.3220551908016205,0.30775824189186096,0.010760732621844835,0.011057365173473954,0.012622619699686765
2,10,2,0.019201215356588364,0.020086169242858887,0.02164606563746929,0.11418913304805756,0.11681924760341644,0.12307153642177582,0.001,0.09512615203857422,0.05013924837112427,-0.04999887943267822,0.42604708671569824,0.3782021999359131,0.3683547079563141,0.009610939847082837,0.010042007151059806,0.010810331464745105
3,10,3,0.01760311797261238,0.018613018095493317,0.019567016512155533,0.10802057385444641,0.11110518127679825,0.11577267944812775,0.001,0.17043787240982056,0.11980348825454712,0.05085080862045288,0.461491197347641,0.4131849408149719,0.4129948914051056,0.008798208954574177,0.009299190889578313,0.00977256482001394
4,10,4,0.0162340234965086,0.017351878806948662,0.01755254529416561,0.102317675948143,0.10596712678670883,0.1080416813492775,0.001,0.2349575161933899,0.1794419288635254,0.14856791496276855,0.5019543170928955,0.44636282324790955,0.4474259912967682,0.008111364091014338,0.008666629227809608,0.00876879864372313
5,10,5,0.015179483219981194,0.016729658469557762,0.01691661961376667,0.09709076583385468,0.10265801101922989,0.1045764833688736,0.001,0.2846537232398987,0.20886629819869995,0.17941516637802124,0.5337541103363037,0.4587608575820923,0.44282567501068115,0.007588867923982863,0.008355521725025027,0.008442513691261411
6,10,6,0.01476252917200327,0.016402656212449074,0.01582428440451622,0.09413701295852661,0.10044873505830765,0.09946168959140778,0.001,0.3043026924133301,0.22432994842529297,0.23240172863006592,0.5579880475997925,0.481498122215271,0.48394644260406494,0.007382709998637438,0.008191571268253029,0.007901517115533352
7,10,7,0.014814456924796104,0.016729706898331642,0.017156919464468956,0.09669512510299683,0.10346786677837372,0.10591723769903183,0.001,0.30185550451278687,0.20886391401290894,0.16775882244110107,0.5727663636207581,0.5010986328125,0.4886404573917389,0.00741003567071737,0.008351506595499814,0.008565781963989138
8,10,8,0.013707071542739868,0.015665406361222267,0.01613025739789009,0.09219775348901749,0.09949760884046555,0.10186102241277695,0.001,0.3540422320365906,0.259194016456604,0.21755975484848022,0.6045301556587219,0.5279040336608887,0.5101913809776306,0.00685203588222089,0.007827974623069167,0.008047963143326342
9,10,9,0.01308393757790327,0.015177411027252674,0.015104944817721844,0.08886151760816574,0.09710738807916641,0.09746677428483963,0.001,0.3834078907966614,0.28227096796035767,0.267295241355896,0.621454656124115,0.5392305850982666,0.53336101770401,0.0065389635574377184,0.007578496763017029,0.007536515640094876
10,10,10,0.012349216267466545,0.014105499722063541,0.01405339129269123,0.08538659662008286,0.09267328679561615,0.09288071095943451,0.001,0.41803228855133057,0.33296090364456177,0.31830352544784546,0.6480033993721008,0.5801554918289185,0.5671178102493286,0.0061768482983955795,0.007045503880362958,0.007014079065993428
