"","Gene","EXP","EXP_lower","EXP_upper","Cox_p","project"
"1","group_WEE1",0.324210951347401,0.135488553763352,0.775805321216874,0.0113994174867664,"TCGA-ACC"
"2","group_WEE1",0.816180449571792,0.576140920195459,1.15622845542236,0.253014953072845,"TCGA-BLCA"
"3","group_WEE1",0.614315959077761,0.413573334732246,0.912496202933281,0.0157975086998072,"TCGA-BRCA"
"4","group_WEE1",0.829263594737974,0.499158628741832,1.37767449055442,0.469759810603654,"TCGA-CESC"
"5","group_WEE1",0.934271832616352,0.337359511434688,2.58734029317357,0.895919193651537,"TCGA-CHOL"
"6","group_WEE1",0.821549343886099,0.490184028738135,1.37691822839917,0.455650739526269,"TCGA-COAD"
"7","group_WEE1",435281456.926022,0,Inf,0.998738890266494,"TCGA-DLBC"
"8","group_WEE1",0.907651120354476,0.515742050085963,1.5973693751429,0.736889562062667,"TCGA-ESCA"
"9","group_WEE1",1.08285864716384,0.736489991498559,1.59212326477325,0.68565126927702,"TCGA-GBM"
"10","group_WEE1",1.03344715155296,0.761327770592761,1.40282944653574,0.83287964647655,"TCGA-HNSC"
"11","group_WEE1",0.648309504203296,0.154903262204423,2.71333997269634,0.552945764413943,"TCGA-KICH"
"12","group_WEE1",1.24727607653224,0.913682699517633,1.70266725189278,0.164078166181102,"TCGA-KIRC"
"13","group_WEE1",0.581998306374996,0.287049651935181,1.18001198168967,0.133363185859224,"TCGA-KIRP"
"14","group_WEE1",0.789860199504123,0.522848081926845,1.19323213821789,0.262423284050286,"TCGA-LGG"
"15","group_WEE1",1.02357517606214,0.680424766801204,1.53978248907091,0.910947271612398,"TCGA-LIHC"
"16","group_WEE1",0.572308692140491,0.396795893073086,0.825455214676907,0.00282227782965744,"TCGA-LUAD"
"17","group_WEE1",0.988843169224058,0.733199554343397,1.33362166892851,0.941395677898039,"TCGA-LUSC"
"18","group_WEE1",0.560705871952556,0.319430745299509,0.984222963720329,0.0438669327523433,"TCGA-MESO"
"19","group_WEE1",1.11308591932185,0.845888799272979,1.46468456002423,0.444297706590616,"TCGA-OV"
"20","group_WEE1",0.53393287846251,0.321546774743689,0.886602948919353,0.0153029800937207,"TCGA-PAAD"
"21","group_WEE1",0.813263152056107,0.159402795345444,4.14921804262538,0.803669269997036,"TCGA-PCPG"
"22","group_WEE1",0.302244888040253,0.0597813333843689,1.52810195381743,0.14786162322031,"TCGA-PRAD"
"23","group_WEE1",3.67693302076626,0.760317380043929,17.7818326846877,0.105402937676115,"TCGA-READ"
"24","group_WEE1",1.04918843181835,0.666950847652584,1.65049099095659,0.835442923005985,"TCGA-SARC"
"25","group_WEE1",1.5297563681595e-09,0,Inf,0.998124753747665,"TCGA-SKCM"
"26","group_WEE1",0.551308041798535,0.344043186898855,0.88343722104019,0.013319259769429,"TCGA-STAD"
"27","group_WEE1",0.514844150487834,0.0466447752513002,5.68261928294211,0.58790568030271,"TCGA-TGCT"
"28","group_WEE1",0.644394046495107,0.215502369540747,1.92686367228006,0.431674938931078,"TCGA-THCA"
"29","group_WEE1",8.70979230476636,0.988825798792194,76.7177414715792,0.0511950669796148,"TCGA-THYM"
"30","group_WEE1",0.842490830526145,0.471975304416472,1.50387275113511,0.562088993167717,"TCGA-UCEC"
"31","group_WEE1",0.780772517583504,0.381782798251653,1.59673439192475,0.49779630353623,"TCGA-UCS"
"32","group_WEE1",0.323972592073836,0.0876885751168081,1.19694316249554,0.0909602643994283,"TCGA-UVM"
