"","Gene","EXP","EXP_lower","EXP_upper","Cox_p","project"
"1","group_EGFR",0.548468353199031,0.242117546607415,1.24244417092423,0.149968542630981,"TCGA-ACC"
"2","group_EGFR",1.43018695114355,1.00980506746603,2.02557382718829,0.0439140401334572,"TCGA-BLCA"
"3","group_EGFR",1.12977664704742,0.767521540974168,1.66300905456498,0.5361823162685,"TCGA-BRCA"
"4","group_EGFR",2.5390568631367,1.48166567901532,4.35105560285772,0.000697324640674122,"TCGA-CESC"
"5","group_EGFR",0.90944121910229,0.335818263827084,2.46288966411944,0.851858373290592,"TCGA-CHOL"
"6","group_EGFR",0.78303682512417,0.463013405324006,1.32425252152575,0.3615955727319,"TCGA-COAD"
"7","group_EGFR",0.881024967590665,0.122640040478343,6.32913190904567,0.899805625847898,"TCGA-DLBC"
"8","group_EGFR",1.07186934668515,0.60646406249283,1.89443030085041,0.811220164884238,"TCGA-ESCA"
"9","group_EGFR",1.160597112306,0.793961917826869,1.69653685756092,0.441967959303079,"TCGA-GBM"
"10","group_EGFR",1.55835592585504,1.14176838549794,2.12694029935716,0.00518439462296935,"TCGA-HNSC"
"11","group_EGFR",0.159892998098553,0.0196678639894643,1.29987531206434,0.086407353867718,"TCGA-KICH"
"12","group_EGFR",0.661741302341627,0.482919619036439,0.906779376863027,0.0102054897839815,"TCGA-KIRC"
"13","group_EGFR",0.84488297353776,0.417207724897052,1.7109636192622,0.639644075290859,"TCGA-KIRP"
"14","group_EGFR",1.45263597771925,0.942969288702177,2.2377730738915,0.0903395158598293,"TCGA-LGG"
"15","group_EGFR",0.969068459850333,0.64367733270439,1.45895098702812,0.880356877637206,"TCGA-LIHC"
"16","group_EGFR",1.08831310257789,0.762016709448082,1.55432997014011,0.641657671322434,"TCGA-LUAD"
"17","group_EGFR",1.47566837879179,1.09208519209932,1.9939810373035,0.0112925444395408,"TCGA-LUSC"
"18","group_EGFR",1.9979542122255,1.17264265789183,3.40412401619954,0.0109043586713593,"TCGA-MESO"
"19","group_EGFR",1.48366085438829,1.12410881840303,1.9582174739732,0.00533307901848861,"TCGA-OV"
"20","group_EGFR",2.30811636782449,1.35125661028103,3.94255326996058,0.00219875548635208,"TCGA-PAAD"
"21","group_EGFR",1.0113289492981,0.204100081937131,5.01119957415526,0.988992613424636,"TCGA-PCPG"
"22","group_EGFR",0.729924860237904,0.163358749660536,3.26147391982661,0.680210949310965,"TCGA-PRAD"
"23","group_EGFR",0.372397453363702,0.0768392656388167,1.80480464146594,0.219934046042759,"TCGA-READ"
"24","group_EGFR",0.630744824420453,0.397022303731132,1.00205713833803,0.0510257712242552,"TCGA-SARC"
"25","group_EGFR",1.28018150989069,0.353709799733386,4.63335960581622,0.706643325606591,"TCGA-SKCM"
"26","group_EGFR",1.14340865356889,0.729027587077146,1.79332493341968,0.55947641043458,"TCGA-STAD"
"27","group_EGFR",1.93734084519666,0.175643407113014,21.3688040568031,0.589247685035366,"TCGA-TGCT"
"28","group_EGFR",2.32551255729145,0.72820691639192,7.42647252090867,0.154279116013122,"TCGA-THCA"
"29","group_EGFR",7.52690841873233,0.860812069003799,65.8150046729115,0.068078078309966,"TCGA-THYM"
"30","group_EGFR",1.02485361845947,0.574063449607383,1.82963214255814,0.933833978820536,"TCGA-UCEC"
"31","group_EGFR",1.22962445954987,0.609728281159121,2.47975427455812,0.56354969866982,"TCGA-UCS"
"32","group_EGFR",1.11262541251183,0.369549085669441,3.34985352845509,0.849483115798654,"TCGA-UVM"
