"","V1","preds","genes","ModelID","StrippedCellLineName","LN_IC50"
"90",262017,0.7613038,"MDM2","ACH-000151","JM1",1.98862
"91",269067,0.73089856,"MDM2","ACH-000501","LS123",6.713757
"92",273767,0.70525706,"MDM2","ACH-000496","NCIH1792",5.038086
"93",276117,0.8165824,"MDM2","ACH-000811","SKOV3",7.139981
"94",278467,0.8225491,"MDM2","ACH-000849","MDAMB468",4.823182
"95",280817,0.7220242,"MDM2","ACH-000212","CAL120",7.333259
"96",283167,0.79175687,"MDM2","ACH-000894","NCIH1869",6.160724
"97",287867,0.57801205,"MDM2","ACH-000838","AMO1",0.631763
"98",292567,0.81289476,"MDM2","ACH-000052","A673",4.990523
"99",297267,0.7493631,"MDM2","ACH-000697","A3KAW",0.40456
"100",301967,0.48710787,"MDM2","ACH-000977","LNCAPCLONEFGC",0.770623
"101",309017,0.8706431,"MDM2","ACH-000559","NCIH1836",6.999611
"102",311367,0.8558409,"MDM2","ACH-000481","NCIH2170",5.444464
"103",316067,0.80026805,"MDM2","ACH-000621","MDAMB157",4.950455
"104",318417,0.8360645,"MDM2","ACH-000248","AU565",4.416541
"105",323117,0.75633866,"MDM2","ACH-000847","HGC27",4.564078
"106",325467,0.7129464,"MDM2","ACH-000438","LU65",5.404144
"107",327817,0.8348916,"MDM2","ACH-000116","OAW28",5.664023
"108",330167,0.7589178,"MDM2","ACH-000804","NB1",3.898373
"109",332517,0.49217084,"MDM2","ACH-000411","769P",1.934591
"110",334867,0.85661834,"MDM2","ACH-000725","HCC202",5.104237
"111",337217,0.76460236,"MDM2","ACH-000090","PC3",6.757385
"112",341917,0.79260606,"MDM2","ACH-000581","SNU16",4.816806
"113",344267,0.8647788,"MDM2","ACH-000910","MDAMB453",5.68636
"114",346617,0.765662,"MDM2","ACH-000622","KNS42",4.542662
"115",348967,0.7766853,"MDM2","ACH-000841","NCIH2087",5.861084
"116",351317,0.85129374,"MDM2","ACH-000978","EN",5.697984
"117",353667,0.82313466,"MDM2","ACH-000518","CAL33",4.62707
"118",356017,0.53671056,"MDM2","ACH-000367","NCIH226",4.442893
"119",358367,0.5052156,"MDM2","ACH-000881","MELJUSO",3.754039
"120",360717,0.6987723,"MDM2","ACH-000024","OPM2",3.801022
"121",363067,0.8632141,"MDM2","ACH-000926","HT55",6.184487
"122",365417,0.6988076,"MDM2","ACH-000749","DMS273",5.178489
"123",372467,0.872794,"MDM2","ACH-000238","SCC4",5.241013
"124",374817,0.6189038,"MDM2","ACH-000558","A172",1.910225
"125",377167,0.7219122,"MDM2","ACH-000469","YH13",5.704567
"126",379517,0.770493,"MDM2","ACH-000843","HARA",3.745954
"127",381867,0.5512228,"MDM2","ACH-000968","COLO792",4.080746
"128",384217,0.74107355,"MDM2","ACH-000048","TOV112D",4.878522
"129",386567,0.7996564,"MDM2","ACH-000148","HS578T",4.741344
"130",388917,0.89098305,"MDM2","ACH-000599","PATU8902",7.481281
"131",393617,0.95685524,"MDM2","ACH-000936","EFO27",5.738349
"132",400667,0.7894006,"MDM2","ACH-000800","NCIH446",5.403506
"133",403017,0.49255332,"MDM2","ACH-000361","SKHEP1",3.742175
"134",405367,0.70061076,"MDM2","ACH-000191","BHT101",5.20248
"135",407717,0.7753977,"MDM2","ACH-000155","SW1990",5.186822
"136",410067,0.86328095,"MDM2","ACH-000702","L1236",4.116811
"137",412417,0.76314414,"MDM2","ACH-000015","NCIH1581",5.111195
"138",414767,0.7282917,"MDM2","ACH-000920","CMLT1",0.990881
"139",417117,0.5940773,"MDM2","ACH-000075","U87MG",3.343346
"140",419467,0.80772287,"MDM2","ACH-000242","RT4",2.497366
"141",421817,0.8849639,"MDM2","ACH-000583","MC116",3.904225
"142",428867,0.7778055,"MDM2","ACH-000783","CAMA1",4.835104
"143",431217,0.7853044,"MDM2","ACH-000416","NCIH838",4.750736
"144",433567,0.74864054,"MDM2","ACH-000714","KMS11",4.697191
"145",435917,0.8636444,"MDM2","ACH-000252","LS1034",4.97828
"146",438267,0.8652398,"MDM2","ACH-000082","G292CLONEA141B1",5.71179
"147",440617,0.6084347,"MDM2","ACH-000956","22RV1",2.716152
"148",442967,0.8682007,"MDM2","ACH-000403","NCIH747",7.258145
"149",447667,0.7750862,"MDM2","ACH-000491","NCIH716",5.24668
"150",452367,0.65195704,"MDM2","ACH-000784","KYSE70",6.92243
"151",459417,0.8540157,"MDM2","ACH-000747","NCIH1703",4.080881
"152",464117,0.8377203,"MDM2","ACH-000243","DANG",5.485584
"153",466467,0.8302674,"MDM2","ACH-000249","CL11",6.16522
"154",468817,0.7854449,"MDM2","ACH-000916","NCIH1573",4.814657
"155",471167,0.8068303,"MDM2","ACH-000888","NCIH1793",6.638691
"156",473517,0.7292731,"MDM2","ACH-000060","PANC1005",6.783467
"157",475867,0.7414527,"MDM2","ACH-000359","MG63",5.342888
"158",478217,0.5414609,"MDM2","ACH-000007","LS513",1.406242
"159",480567,0.86051446,"MDM2","ACH-000858","KNS62",4.653945
"160",485267,0.67838216,"MDM2","ACH-000810","SKMEL30",5.089909
"161",487617,0.8256932,"MDM2","ACH-000775","NCIH727",6.075654
"162",489967,0.72189534,"MDM2","ACH-000766","NCIH1648",4.872427
"163",492317,0.81669354,"MDM2","ACH-000819","LN18",5.238626
"164",494667,0.79907876,"MDM2","ACH-000552","HT29",6.130587
"165",497017,0.7613075,"MDM2","ACH-000222","ASPC1",7.976876
"166",499367,0.651768,"MDM2","ACH-000070","697",0.279861
"167",501717,0.66025627,"MDM2","ACH-000259","KELLY",4.079278
"168",504067,0.5513336,"MDM2","ACH-000113","OCIAML2",0.181459
"169",506417,0.7975991,"MDM2","ACH-000672","IALM",5.18825
"170",508767,0.841773,"MDM2","ACH-000346","JVM3",-0.499592
"171",513467,0.813191,"MDM2","ACH-000480","HUH7",5.374608
"172",515817,0.89200765,"MDM2","ACH-000108","KP3",5.908481
"173",518167,0.7781775,"MDM2","ACH-000106","JVM2",0.421134
"174",520517,0.86868894,"MDM2","ACH-000589","NCIH1437",4.090544
"175",522867,0.7765621,"MDM2","ACH-000303","SNU5",4.838829
"176",525217,0.57631826,"MDM2","ACH-000463","NCIH460",0.798677
"177",527567,0.8632796,"MDM2","ACH-000986","HT115",5.537346
"178",529917,0.47683978,"MDM2","ACH-000527","OVISE",3.737654
"179",532267,0.85720885,"MDM2","ACH-000548","BHY",5.132605
"180",534617,0.79053503,"MDM2","ACH-000042","PANC0203",6.201565
"181",536967,0.5507459,"MDM2","ACH-000336","OCIAML3",1.227783
"182",539317,0.76894414,"MDM2","ACH-000334","DB",3.728823
"183",541667,0.79827654,"MDM2","ACH-000437","SW1088",6.447821
"184",548717,0.86519295,"MDM2","ACH-000698","DMS53",5.391042
"185",551067,0.7674912,"MDM2","ACH-000204","LP1",5.337575
"186",553417,0.7596482,"MDM2","ACH-000035","NCIH1650",6.612779
"187",555767,0.73166025,"MDM2","ACH-001307","8505C",5.662818
"188",558117,0.87787515,"MDM2","ACH-000740","A253",5.084037
"189",562817,0.93038166,"MDM2","ACH-000832","CAL27",5.261017
"190",565167,0.84921354,"MDM2","ACH-000009","C2BBE1",6.199884
"191",567517,0.74740756,"MDM2","ACH-000018","T24",4.911149
"192",569867,0.7304258,"MDM2","ACH-000055","D283MED",1.616044
"193",572217,0.80714047,"MDM2","ACH-000846","FADU",4.839179
"194",574567,0.7763475,"MDM2","ACH-000250","KMRC20",6.071337
"195",576917,0.57853746,"MDM2","ACH-000335","MSTO211H",4.954296
"196",579267,0.68545264,"MDM2","ACH-000478","SNU387",5.852376
"197",581617,0.5986764,"MDM2","ACH-000178","HS766T",7.488047
"198",583967,0.48758912,"MDM2","ACH-000200","NMCG1",5.50512
"199",588667,0.8174283,"MDM2","ACH-000476","JHH4",5.499444
"200",591017,0.34728652,"MDM2","ACH-000159","OSRC2",6.259525
"201",595717,0.79611003,"MDM2","ACH-000668","HCC70",5.936488
"202",598067,0.72574866,"MDM2","ACH-000963","CCK81",3.281712
