"","GSM8393322","GSM8393323","GSM8393324","GSM8393325","GSM8393326","GSM8393327","GSM8393328","GSM8393329","GSM8393330","GSM8393331"
"PTEN",0.9295216,0.90300125,0.7928368,0.9063321,0.8372175,0.79800725,0.7877886,0.7764162,0.8052258,0.70259535
"PRDX1",0.843214,0.9265984,0.723905,0.83835435,0.7691952,0.735495,0.6886022,0.65782356,0.6884841,0.59012073
