"","CCLE","ccls_1088_expression","GDSC2"
"2796",NA,NA,"ACH-000451"
"2797",NA,NA,"ACH-000481"
"2798",NA,NA,"ACH-000447"
"2799",NA,NA,"ACH-000951"
"2800",NA,NA,"ACH-000875"
"2801",NA,NA,"ACH-000121"
"2802",NA,NA,"ACH-000853"
"2803",NA,NA,"ACH-000187"
"2804",NA,NA,"ACH-000530"
"2805",NA,NA,"ACH-000749"
"2806",NA,NA,"ACH-000866"
"2807",NA,NA,"ACH-000514"
"2808",NA,NA,"ACH-000431"
"2809",NA,NA,"ACH-000729"
"2810",NA,NA,"ACH-000298"
"2811",NA,NA,"ACH-000290"
"2812",NA,NA,"ACH-001138"
"2813",NA,NA,"ACH-000525"
"2814",NA,NA,"ACH-000610"
"2815",NA,NA,"ACH-001364"
"2816",NA,NA,"ACH-000800"
"2817",NA,NA,"ACH-000767"
"2818",NA,NA,"ACH-001599"
"2819",NA,NA,"ACH-000358"
"2820",NA,NA,"ACH-000355"
"2821",NA,NA,"ACH-000153"
"2822",NA,NA,"ACH-000366"
"2823",NA,NA,"ACH-000341"
"2824",NA,NA,"ACH-001702"
"2825",NA,NA,"ACH-001233"
"2826",NA,NA,"ACH-002052"
"2827",NA,NA,"ACH-000670"
"2828",NA,NA,"ACH-002196"
"2829",NA,NA,"ACH-001549"
"2830",NA,NA,"ACH-000149"
"2831",NA,NA,"ACH-000521"
"2832",NA,NA,"ACH-000311"
"2833",NA,NA,"ACH-000675"
"2834",NA,NA,"ACH-000945"
"2835",NA,NA,"ACH-000018"
"2836",NA,NA,"ACH-000050"
"2837",NA,NA,"ACH-000260"
"2838",NA,NA,"ACH-000510"
"2839",NA,NA,"ACH-000841"
"2840",NA,NA,"ACH-000522"
"2841",NA,NA,"ACH-001402"
"2842",NA,NA,"ACH-000775"
"2843",NA,NA,"ACH-000264"
"2844",NA,NA,"ACH-000438"
"2845",NA,NA,"ACH-000666"
"2846",NA,NA,"ACH-000496"
"2847",NA,NA,"ACH-000094"
"2848",NA,NA,"ACH-000601"
"2849",NA,NA,"ACH-000790"
"2850",NA,NA,"ACH-000886"
"2851",NA,NA,"ACH-000718"
"2852",NA,NA,"ACH-000677"
"2853",NA,NA,"ACH-000408"
"2854",NA,NA,"ACH-000859"
"2855",NA,NA,"ACH-000374"
"2856",NA,NA,"ACH-000111"
"2857",NA,NA,"ACH-000699"
"2858",NA,NA,"ACH-000196"
"2859",NA,NA,"ACH-000223"
"2860",NA,NA,"ACH-000691"
"2861",NA,NA,"ACH-000755"
"2862",NA,NA,"ACH-000276"
"2863",NA,NA,"ACH-002212"
"2864",NA,NA,"ACH-002213"
"2865",NA,NA,"ACH-002090"
"2866",NA,NA,"ACH-000603"
"2867",NA,NA,"ACH-000548"
"2868",NA,NA,"ACH-002043"
"2869",NA,NA,"ACH-000210"
"2870",NA,NA,"ACH-000826"
"2871",NA,NA,"ACH-000518"
"2872",NA,NA,"ACH-002096"
"2873",NA,NA,"ACH-002097"
"2874",NA,NA,"ACH-001049"
"2875",NA,NA,"ACH-002222"
"2876",NA,NA,"ACH-002230"
"2877",NA,NA,"ACH-000703"
"2878",NA,NA,"ACH-002235"
"2879",NA,NA,"ACH-000563"
"2880",NA,NA,"ACH-000305"
"2881",NA,NA,"ACH-000585"
"2882",NA,NA,"ACH-002139"
"2883",NA,NA,"ACH-002243"
"2884",NA,NA,"ACH-002045"
"2885",NA,NA,"ACH-000472"
"2886",NA,NA,"ACH-002247"
"2887",NA,NA,"ACH-002144"
"2888",NA,NA,"ACH-002145"
"2889",NA,NA,"ACH-000396"
"2890",NA,NA,"ACH-000858"
"2891",NA,NA,"ACH-001543"
"2892",NA,NA,"ACH-000265"
"2893",NA,NA,"ACH-000823"
"2894",NA,NA,"ACH-000809"
"2895",NA,NA,"ACH-000637"
"2896",NA,NA,"ACH-000784"
"2897",NA,NA,"ACH-002150"
"2898",NA,NA,"ACH-002151"
"2899",NA,NA,"ACH-002152"
"2900",NA,NA,"ACH-002153"
"2901",NA,NA,"ACH-002154"
"2902",NA,NA,"ACH-002265"
"2903",NA,NA,"ACH-002266"
"2904",NA,NA,"ACH-002155"
"2905",NA,NA,"ACH-000627"
"2906",NA,NA,"ACH-002051"
"2907",NA,NA,"ACH-002077"
"2908",NA,NA,"ACH-000787"
"2909",NA,NA,"ACH-001131"
"2910",NA,NA,"ACH-001958"
"2911",NA,NA,"ACH-002164"
"2912",NA,NA,"ACH-002166"
"2913",NA,NA,"ACH-000892"
"2914",NA,NA,"ACH-001075"
"2915",NA,NA,"ACH-002177"
"2916",NA,NA,"ACH-000030"
"2917",NA,NA,"ACH-002197"
"2918",NA,NA,"ACH-000363"
"2919",NA,NA,"ACH-000353"
"2920",NA,NA,"ACH-002217"
"2921",NA,NA,"ACH-000259"
"2922",NA,NA,"ACH-000099"
"2923",NA,NA,"ACH-000647"
"2924",NA,NA,"ACH-000318"
"2925",NA,NA,"ACH-000452"
"2926",NA,NA,"ACH-000354"
"2927",NA,NA,"ACH-000090"
"2928",NA,NA,"ACH-000979"
"2929",NA,NA,"ACH-000971"
"2930",NA,NA,"ACH-000997"
"2931",NA,NA,"ACH-000002"
"2932",NA,NA,"ACH-000552"
"2933",NA,NA,"ACH-000551"
"2934",NA,NA,"ACH-000367"
"2935",NA,NA,"ACH-000900"
"2936",NA,NA,"ACH-000463"
"2937",NA,NA,"ACH-000343"
"2938",NA,NA,"ACH-000147"
"2939",NA,NA,"ACH-000019"
"2940",NA,NA,"ACH-000555"
"2941",NA,NA,"ACH-000681"
"2942",NA,NA,"ACH-000046"
"2943",NA,NA,"ACH-000288"
"2944",NA,NA,"ACH-001738"
"2945",NA,NA,"ACH-000615"
"2946",NA,NA,"ACH-001190"
"2947",NA,NA,"ACH-000730"
"2948",NA,NA,"ACH-000148"
"2949",NA,NA,"ACH-001127"
"2950",NA,NA,"ACH-000811"
"2951",NA,NA,"ACH-000768"
"2952",NA,NA,"ACH-001039"
"2953",NA,NA,"ACH-000651"
"2954",NA,NA,"ACH-000433"
"2955",NA,NA,"ACH-000817"
"2956",NA,NA,"ACH-002172"
"2957",NA,NA,"ACH-000966"
"2958",NA,NA,"ACH-001151"
"2959",NA,NA,"ACH-000706"
"2960",NA,NA,"ACH-001081"
"2961",NA,NA,"ACH-000861"
"2962",NA,NA,"ACH-000825"
"2963",NA,NA,"ACH-000750"
"2964",NA,NA,"ACH-002159"
"2965",NA,NA,"ACH-000425"
"2966",NA,NA,"ACH-000579"
"2967",NA,NA,"ACH-002195"
"2968",NA,NA,"ACH-002199"
"2969",NA,NA,"ACH-001208"
"2970",NA,NA,"ACH-000504"
"2971",NA,NA,"ACH-000273"
"2972",NA,NA,"ACH-000376"
"2973",NA,NA,"ACH-000655"
"2974",NA,NA,"ACH-000969"
"2975",NA,NA,"ACH-000617"
"2976",NA,NA,"ACH-000696"
"2977",NA,NA,"ACH-000535"
"2978",NA,NA,"ACH-001452"
"2979",NA,NA,"ACH-000191"
"2980",NA,NA,"ACH-001016"
"2981",NA,NA,"ACH-002216"
"2982",NA,NA,"ACH-002210"
"2983",NA,NA,"ACH-000880"
"2984",NA,NA,"ACH-000528"
"2985",NA,NA,"ACH-000788"
"2986",NA,NA,"ACH-000219"
"2987",NA,NA,"ACH-000740"
"2988",NA,NA,"ACH-001306"
"2989",NA,NA,"ACH-000896"
"2990",NA,NA,"ACH-000973"
"2991",NA,NA,"ACH-000070"
"2992",NA,NA,"ACH-000536"
"2993",NA,NA,"ACH-000657"
"2994",NA,NA,"ACH-000161"
"2995",NA,NA,"ACH-002220"
"2996",NA,NA,"ACH-000508"
"2997",NA,NA,"ACH-001820"
"2998",NA,NA,"ACH-000401"
"2999",NA,NA,"ACH-000968"
"3000",NA,NA,"ACH-000717"
"3001",NA,NA,"ACH-000805"
"3002",NA,NA,"ACH-000120"
"3003",NA,NA,"ACH-000138"
"3004",NA,NA,"ACH-001336"
"3005",NA,NA,"ACH-000713"
"3006",NA,NA,"ACH-000212"
"3007",NA,NA,"ACH-001715"
"3008",NA,NA,"ACH-000174"
"3009",NA,NA,"ACH-000580"
"3010",NA,NA,"ACH-000786"
"3011",NA,NA,"ACH-000334"
"3012",NA,NA,"ACH-000211"
"3013",NA,NA,"ACH-000055"
"3014",NA,NA,"ACH-000863"
"3015",NA,NA,"ACH-000233"
"3016",NA,NA,"ACH-000207"
"3017",NA,NA,"ACH-002232"
"3018",NA,NA,"ACH-000244"
"3019",NA,NA,"ACH-002100"
"3020",NA,NA,"ACH-000056"
"3021",NA,NA,"ACH-001341"
"3022",NA,NA,"ACH-000258"
"3023",NA,NA,"ACH-001064"
"3024",NA,NA,"ACH-002236"
"3025",NA,NA,"ACH-000560"
"3026",NA,NA,"ACH-000225"
"3027",NA,NA,"ACH-000330"
"3028",NA,NA,"ACH-000936"
"3029",NA,NA,"ACH-000295"
"3030",NA,NA,"ACH-002237"
"3031",NA,NA,"ACH-001065"
"3032",NA,NA,"ACH-000846"
"3033",NA,NA,"ACH-000903"
"3034",NA,NA,"ACH-000572"
"3035",NA,NA,"ACH-000098"
"3036",NA,NA,"ACH-000047"
"3037",NA,NA,"ACH-000081"
"3038",NA,NA,"ACH-000756"
"3039",NA,NA,"ACH-001344"
"3040",NA,NA,"ACH-001716"
"3041",NA,NA,"ACH-002238"
"3042",NA,NA,"ACH-000835"
"3043",NA,NA,"ACH-000913"
"3044",NA,NA,"ACH-000389"
"3045",NA,NA,"ACH-002240"
"3046",NA,NA,"ACH-002242"
"3047",NA,NA,"ACH-000277"
"3048",NA,NA,"ACH-000930"
"3049",NA,NA,"ACH-000624"
"3050",NA,NA,"ACH-000668"
"3051",NA,NA,"ACH-001517"
"3052",NA,NA,"ACH-000004"
"3053",NA,NA,"ACH-000847"
"3054",NA,NA,"ACH-000061"
"3055",NA,NA,"ACH-001089"
"3056",NA,NA,"ACH-002040"
"3057",NA,NA,"ACH-000613"
"3058",NA,NA,"ACH-000778"
"3059",NA,NA,"ACH-000546"
"3060",NA,NA,"ACH-000914"
"3061",NA,NA,"ACH-000054"
"3062",NA,NA,"ACH-000547"
"3063",NA,NA,"ACH-000724"
"3064",NA,NA,"ACH-000322"
"3065",NA,NA,"ACH-001525"
"3066",NA,NA,"ACH-000976"
"3067",NA,NA,"ACH-000480"
"3068",NA,NA,"ACH-001526"
"3069",NA,NA,"ACH-000538"
"3070",NA,NA,"ACH-000882"
"3071",NA,NA,"ACH-002248"
"3072",NA,NA,"ACH-000915"
"3073",NA,NA,"ACH-002143"
"3074",NA,NA,"ACH-000569"
"3075",NA,NA,"ACH-001529"
"3076",NA,NA,"ACH-001530"
"3077",NA,NA,"ACH-002252"
"3078",NA,NA,"ACH-000106"
"3079",NA,NA,"ACH-000346"
"3080",NA,NA,"ACH-000231"
"3081",NA,NA,"ACH-002256"
"3082",NA,NA,"ACH-000053"
"3083",NA,NA,"ACH-000315"
"3084",NA,NA,"ACH-000263"
"3085",NA,NA,"ACH-000793"
"3086",NA,NA,"ACH-000101"
"3087",NA,NA,"ACH-000386"
"3088",NA,NA,"ACH-002257"
"3089",NA,NA,"ACH-002258"
"3090",NA,NA,"ACH-000380"
"3091",NA,NA,"ACH-000622"
"3092",NA,NA,"ACH-000118"
"3093",NA,NA,"ACH-000213"
"3094",NA,NA,"ACH-000926"
"3095",NA,NA,"ACH-000986"
"3096",NA,NA,"ACH-001519"
"3097",NA,NA,"ACH-001345"
"3098",NA,NA,"ACH-000698"
"3099",NA,NA,"ACH-000375"
"3100",NA,NA,"ACH-000096"
"3101",NA,NA,"ACH-002262"
"3102",NA,NA,"ACH-000074"
"3103",NA,NA,"ACH-000486"
"3104",NA,NA,"ACH-000631"
"3105",NA,NA,"ACH-000227"
"3106",NA,NA,"ACH-000855"
"3107",NA,NA,"ACH-000693"
"3108",NA,NA,"ACH-000873"
"3109",NA,NA,"ACH-000865"
"3110",NA,NA,"ACH-000824"
"3111",NA,NA,"ACH-000754"
"3112",NA,NA,"ACH-000806"
"3113",NA,NA,"ACH-000301"
"3114",NA,NA,"ACH-002157"
"3115",NA,NA,"ACH-002267"
"3116",NA,NA,"ACH-000977"
"3117",NA,NA,"ACH-000104"
"3118",NA,NA,"ACH-000950"
"3119",NA,NA,"ACH-000204"
"3120",NA,NA,"ACH-000501"
"3121",NA,NA,"ACH-000985"
"3122",NA,NA,"ACH-000007"
"3123",NA,NA,"ACH-002158"
"3124",NA,NA,"ACH-000583"
"3125",NA,NA,"ACH-002160"
"3126",NA,NA,"ACH-000759"
"3127",NA,NA,"ACH-000934"
"3128",NA,NA,"ACH-000910"
"3129",NA,NA,"ACH-000849"
"3130",NA,NA,"ACH-000450"
"3131",NA,NA,"ACH-000881"
"3132",NA,NA,"ACH-000072"
"3133",NA,NA,"ACH-000449"
"3134",NA,NA,"ACH-000987"
"3135",NA,NA,"ACH-000192"
"3136",NA,NA,"ACH-000879"
"3137",NA,NA,"ACH-000359"
"3138",NA,NA,"ACH-000020"
"3139",NA,NA,"ACH-000156"
"3140",NA,NA,"ACH-000391"
"3141",NA,NA,"ACH-000078"
"3142",NA,NA,"ACH-002272"
"3143",NA,NA,"ACH-000351"
"3144",NA,NA,"ACH-002161"
"3145",NA,NA,"ACH-002273"
"3146",NA,NA,"ACH-002274"
"3147",NA,NA,"ACH-002275"
"3148",NA,NA,"ACH-001125"
"3149",NA,NA,"ACH-001126"
"3150",NA,NA,"ACH-000795"
"3151",NA,NA,"ACH-000918"
"3152",NA,NA,"ACH-000006"
"3153",NA,NA,"ACH-002339"
"3154",NA,NA,"ACH-000319"
"3155",NA,NA,"ACH-002163"
"3156",NA,NA,"ACH-000335"
"3157",NA,NA,"ACH-000045"
"3158",NA,NA,"ACH-000938"
"3159",NA,NA,"ACH-000944"
"3160",NA,NA,"ACH-002083"
"3161",NA,NA,"ACH-001578"
"3162",NA,NA,"ACH-000360"
"3163",NA,NA,"ACH-000395"
"3164",NA,NA,"ACH-000932"
"3165",NA,NA,"ACH-000303"
"3166",NA,NA,"ACH-000581"
"3167",NA,NA,"ACH-001603"
"3168",NA,NA,"ACH-002290"
"3169",NA,NA,"ACH-000200"
"3170",NA,NA,"ACH-001606"
"3171",NA,NA,"ACH-000168"
"3172",NA,NA,"ACH-001605"
"3173",NA,NA,"ACH-002291"
"3174",NA,NA,"ACH-000911"
"3175",NA,NA,"ACH-000403"
"3176",NA,NA,"ACH-000491"
"3177",NA,NA,"ACH-000628"
"3178",NA,NA,"ACH-000638"
"3179",NA,NA,"ACH-000427"
"3180",NA,NA,"ACH-000092"
"3181",NA,NA,"ACH-000888"
"3182",NA,NA,"ACH-000860"
"3183",NA,NA,"ACH-000980"
"3184",NA,NA,"ACH-000780"
"3185",NA,NA,"ACH-000830"
"3186",NA,NA,"ACH-000648"
"3187",NA,NA,"ACH-000015"
"3188",NA,NA,"ACH-000916"
"3189",NA,NA,"ACH-000448"
"3190",NA,NA,"ACH-000747"
"3191",NA,NA,"ACH-000282"
"3192",NA,NA,"ACH-001137"
"3193",NA,NA,"ACH-000394"
"3194",NA,NA,"ACH-000399"
"3195",NA,NA,"ACH-000816"
"3196",NA,NA,"ACH-003071"
"3197",NA,NA,"ACH-000776"
"3198",NA,NA,"ACH-000024"
"3199",NA,NA,"ACH-000159"
"3200",NA,NA,"ACH-000372"
"3201",NA,NA,"ACH-002059"
"3202",NA,NA,"ACH-000770"
"3203",NA,NA,"ACH-001374"
"3204",NA,NA,"ACH-002179"
"3205",NA,NA,"ACH-000962"
"3206",NA,NA,"ACH-000937"
"3207",NA,NA,"ACH-000654"
"3208",NA,NA,"ACH-000565"
"3209",NA,NA,"ACH-000169"
"3210",NA,NA,"ACH-000960"
"3211",NA,NA,"ACH-002301"
"3212",NA,NA,"ACH-000943"
"3213",NA,NA,"ACH-000719"
"3214",NA,NA,"ACH-001182"
"3215",NA,NA,"ACH-000636"
"3216",NA,NA,"ACH-000874"
"3217",NA,NA,"ACH-000473"
"3218",NA,NA,"ACH-000614"
"3219",NA,NA,"ACH-000410"
"3220",NA,NA,"ACH-002029"
"3221",NA,NA,"ACH-000181"
"3222",NA,NA,"ACH-002198"
"3223",NA,NA,"ACH-000609"
"3224",NA,NA,"ACH-000441"
"3225",NA,NA,"ACH-000112"
"3226",NA,NA,"ACH-001189"
"3227",NA,NA,"ACH-000748"
"3228",NA,NA,"ACH-000400"
"3229",NA,NA,"ACH-000361"
"3230",NA,NA,"ACH-000145"
"3231",NA,NA,"ACH-000309"
"3232",NA,NA,"ACH-000373"
"3233",NA,NA,"ACH-000465"
"3234",NA,NA,"ACH-000423"
"3235",NA,NA,"ACH-000822"
"3236",NA,NA,"ACH-000810"
"3237",NA,NA,"ACH-000640"
"3238",NA,NA,"ACH-000665"
"3239",NA,NA,"ACH-002304"
"3240",NA,NA,"ACH-001193"
"3241",NA,NA,"ACH-000939"
"3242",NA,NA,"ACH-000974"
"3243",NA,NA,"ACH-000478"
"3244",NA,NA,"ACH-000493"
"3245",NA,NA,"ACH-000420"
"3246",NA,NA,"ACH-001199"
"3247",NA,NA,"ACH-000664"
"3248",NA,NA,"ACH-000953"
"3249",NA,NA,"ACH-001401"
"3250",NA,NA,"ACH-000437"
"3251",NA,NA,"ACH-000489"
"3252",NA,NA,"ACH-000236"
"3253",NA,NA,"ACH-000470"
"3254",NA,NA,"ACH-000566"
"3255",NA,NA,"ACH-000883"
"3256",NA,NA,"ACH-000958"
"3257",NA,NA,"ACH-001399"
"3258",NA,NA,"ACH-002309"
"3259",NA,NA,"ACH-000421"
"3260",NA,NA,"ACH-002310"
"3261",NA,NA,"ACH-000680"
"3262",NA,NA,"ACH-002200"
"3263",NA,NA,"ACH-001274"
"3264",NA,NA,"ACH-000381"
"3265",NA,NA,"ACH-000197"
"3266",NA,NA,"ACH-001861"
"3267",NA,NA,"ACH-000949"
"3268",NA,NA,"ACH-000146"
"3269",NA,NA,"ACH-002314"
"3270",NA,NA,"ACH-000430"
"3271",NA,NA,"ACH-000364"
"3272",NA,NA,"ACH-001680"
"3273",NA,NA,"ACH-000554"
"3274",NA,NA,"ACH-001417"
"3275",NA,NA,"ACH-000171"
"3276",NA,NA,"ACH-000304"
"3277",NA,NA,"ACH-001709"
"3278",NA,NA,"ACH-000332"
"3279",NA,NA,"ACH-000469"
"3280",NA,NA,"ACH-000828"
"3281",NA,NA,"ACH-000189"
"3282",NA,NA,"ACH-000524"
"3283",NA,NA,"ACH-000815"
"3284",NA,NA,"ACH-002142"
"3285",NA,NA,"ACH-000679"
"3286",NA,NA,"ACH-002308"
"3287",NA,NA,"ACH-000416"
"3288",NA,NA,"ACH-002300"
"3289",NA,NA,"ACH-002302"
"3290",NA,NA,"ACH-002299"
"3291",NA,NA,"ACH-000320"
"3292",NA,NA,"ACH-000704"
"3293",NA,NA,"ACH-000383"
"3294",NA,NA,"ACH-000998"
"3295",NA,NA,"ACH-000136"
"3296",NA,NA,"ACH-001023"
"3297",NA,NA,"ACH-002219"
"3298",NA,NA,"ACH-002058"
"3299",NA,NA,"ACH-002218"
"3300",NA,NA,"ACH-000350"
"3301",NA,NA,"ACH-000864"
"3302",NA,NA,"ACH-000803"
"3303",NA,NA,"ACH-002268"
"3304",NA,NA,"ACH-002312"
"3305",NA,NA,"ACH-001442"
"3306",NA,NA,"ACH-000792"
"3307",NA,NA,"ACH-000009"
"3308",NA,NA,"ACH-000188"
"3309",NA,NA,"ACH-000222"
"3310",NA,NA,"ACH-000440"
"3311",NA,NA,"ACH-000248"
"3312",NA,NA,"ACH-002211"
"3313",NA,NA,"ACH-000245"
"3314",NA,NA,"ACH-000432"
"3315",NA,NA,"ACH-000672"
"3316",NA,NA,"ACH-001674"
"3317",NA,NA,"ACH-000940"
"3318",NA,NA,"ACH-000201"
"3319",NA,NA,"ACH-002178"
"3320",NA,NA,"ACH-001021"
"3321",NA,NA,"ACH-000757"
"3322",NA,NA,"ACH-000857"
"3323",NA,NA,"ACH-001024"
"3324",NA,NA,"ACH-000371"
"3325",NA,NA,"ACH-000506"
"3326",NA,NA,"ACH-000893"
"3327",NA,NA,"ACH-000348"
"3328",NA,NA,"ACH-000238"
"3329",NA,NA,"ACH-000722"
"3330",NA,NA,"ACH-000567"
"3331",NA,NA,"ACH-000155"
"3332",NA,NA,"ACH-000568"
"3333",NA,NA,"ACH-000254"
"3334",NA,NA,"ACH-000107"
"3335",NA,NA,"ACH-000832"
"3336",NA,NA,"ACH-002215"
"3337",NA,NA,"ACH-002214"
"3338",NA,NA,"ACH-000429"
"3339",NA,NA,"ACH-000008"
"3340",NA,NA,"ACH-000411"
"3341",NA,NA,"ACH-000948"
"3342",NA,NA,"ACH-001328"
"3343",NA,NA,"ACH-000802"
"3344",NA,NA,"ACH-000856"
"3345",NA,NA,"ACH-001642"
"3346",NA,NA,"ACH-000062"
"3347",NA,NA,"ACH-002120"
"3348",NA,NA,"ACH-000269"
"3349",NA,NA,"ACH-000157"
"3350",NA,NA,"ACH-000697"
"3351",NA,NA,"ACH-002234"
"3352",NA,NA,"ACH-000257"
"3353",NA,NA,"ACH-001338"
"3354",NA,NA,"ACH-002288"
"3355",NA,NA,"ACH-000464"
"3356",NA,NA,"ACH-002209"
"3357",NA,NA,"ACH-000113"
"3358",NA,NA,"ACH-001819"
"3359",NA,NA,"ACH-000920"
"3360",NA,NA,"ACH-000457"
"3361",NA,NA,"ACH-000308"
"3362",NA,NA,"ACH-000252"
"3363",NA,NA,"ACH-000956"
"3364",NA,NA,"ACH-001307"
"3365",NA,NA,"ACH-000456"
"3366",NA,NA,"ACH-001453"
"3367",NA,NA,"ACH-000902"
"3368",NA,NA,"ACH-002091"
"3369",NA,NA,"ACH-002345"
"3370",NA,NA,"ACH-000267"
"3371",NA,NA,"ACH-002244"
"3372",NA,NA,"ACH-001350"
"3373",NA,NA,"ACH-002149"
"3374",NA,NA,"ACH-000293"
"3375",NA,NA,"ACH-002259"
"3376",NA,NA,"ACH-000345"
"3377",NA,NA,"ACH-002148"
"3378",NA,NA,"ACH-000183"
"3379",NA,NA,"ACH-000876"
"3380",NA,NA,"ACH-002171"
"3381",NA,NA,"ACH-000587"
"3382",NA,NA,"ACH-001400"
"3383",NA,NA,"ACH-000772"
"3384",NA,NA,"ACH-000678"
"3385",NA,NA,"ACH-000621"
"3386",NA,NA,"ACH-002162"
"3387",NA,NA,"ACH-000356"
"3388",NA,NA,"ACH-000789"
"3389",NA,NA,"ACH-002271"
"3390",NA,NA,"ACH-002067"
"3391",NA,NA,"ACH-000139"
"3392",NA,NA,"ACH-000417"
"3393",NA,NA,"ACH-000060"
"3394",NA,NA,"ACH-000965"
"3395",NA,NA,"ACH-001384"
"3396",NA,NA,"ACH-000556"
"3397",NA,NA,"ACH-002020"
"3398",NA,NA,"ACH-001321"
"3399",NA,NA,"ACH-001704"
"3400",NA,NA,"ACH-000694"
"3401",NA,NA,"ACH-000488"
"3402",NA,NA,"ACH-000605"
"3403",NA,NA,"ACH-002311"
"3404",NA,NA,"ACH-002201"
"3405",NA,NA,"ACH-002317"
"3406",NA,NA,"ACH-000927"
"3407",NA,NA,"ACH-000116"
"3408",NA,NA,"ACH-000596"
"3409",NA,NA,"ACH-002261"
"3410",NA,NA,"ACH-002223"
"3411",NA,NA,"ACH-002224"
"3412",NA,NA,"ACH-002225"
"3413",NA,NA,"ACH-002226"
"3414",NA,NA,"ACH-002227"
"3415",NA,NA,"ACH-002228"
"3416",NA,NA,"ACH-002229"
"3417",NA,NA,"ACH-002231"
"3418",NA,NA,"ACH-000783"
"3419",NA,NA,"ACH-002221"
"3420",NA,NA,"ACH-000103"
"3421",NA,NA,"ACH-000818"
"3422",NA,NA,"ACH-001118"
"3423",NA,NA,"ACH-002241"
"3424",NA,NA,"ACH-002180"
"3425",NA,NA,"ACH-002109"
"3426",NA,NA,"ACH-002105"
"3427",NA,NA,"ACH-002107"
"3428",NA,NA,"ACH-002103"
"3429",NA,NA,"ACH-002119"
"3430",NA,NA,"ACH-002118"
"3431",NA,NA,"ACH-002112"
"3432",NA,NA,"ACH-002110"
"3433",NA,NA,"ACH-002115"
"3434",NA,NA,"ACH-002114"
"3435",NA,NA,"ACH-002113"
"3436",NA,NA,"ACH-002116"
"3437",NA,NA,"ACH-002117"
"3438",NA,NA,"ACH-001355"
"3439",NA,NA,"ACH-002278"
"3440",NA,NA,"ACH-002279"
"3441",NA,NA,"ACH-002284"
"3442",NA,NA,"ACH-002285"
"3443",NA,NA,"ACH-002282"
"3444",NA,NA,"ACH-002283"
"3445",NA,NA,"ACH-002280"
"3446",NA,NA,"ACH-002281"
"3447",NA,NA,"ACH-000804"
"3448",NA,NA,"ACH-000689"
"3449",NA,NA,"ACH-002165"
"3450",NA,NA,"ACH-000995"
"3451",NA,NA,"ACH-000957"
"3452",NA,NA,"ACH-000794"
"3453",NA,NA,"ACH-001332"
"3454",NA,NA,"ACH-000963"
"3455",NA,NA,"ACH-000812"
"3456",NA,NA,"ACH-000978"
"3457",NA,NA,"ACH-000906"
"3458",NA,NA,"ACH-000574"
"3459",NA,NA,"ACH-002121"
"3460",NA,NA,"ACH-000843"
"3461",NA,NA,"ACH-000878"
"3462",NA,NA,"ACH-000840"
"3463",NA,NA,"ACH-000667"
"3464",NA,NA,"ACH-000012"
"3465",NA,NA,"ACH-000625"
"3466",NA,NA,"ACH-002246"
"3467",NA,NA,"ACH-000067"
"3468",NA,NA,"ACH-000616"
"3469",NA,NA,"ACH-000650"
"3470",NA,NA,"ACH-001528"
"3471",NA,NA,"ACH-000919"
"3472",NA,NA,"ACH-000577"
"3473",NA,NA,"ACH-000476"
"3474",NA,NA,"ACH-000217"
"3475",NA,NA,"ACH-000848"
"3476",NA,NA,"ACH-002249"
"3477",NA,NA,"ACH-002250"
"3478",NA,NA,"ACH-000607"
"3479",NA,NA,"ACH-002263"
"3480",NA,NA,"ACH-000819"
"3481",NA,NA,"ACH-000595"
"3482",NA,NA,"ACH-002269"
"3483",NA,NA,"ACH-000573"
"3484",NA,NA,"ACH-000935"
"3485",NA,NA,"ACH-000988"
"3486",NA,NA,"ACH-000058"
"3487",NA,NA,"ACH-001360"
"3488",NA,NA,"ACH-002277"
"3489",NA,NA,"ACH-000559"
"3490",NA,NA,"ACH-000894"
"3491",NA,NA,"ACH-000434"
"3492",NA,NA,"ACH-000414"
"3493",NA,NA,"ACH-000752"
"3494",NA,NA,"ACH-000781"
"3495",NA,NA,"ACH-000639"
"3496",NA,NA,"ACH-000337"
"3497",NA,NA,"ACH-000378"
"3498",NA,NA,"ACH-000292"
"3499",NA,NA,"ACH-001365"
"3500",NA,NA,"ACH-001626"
"3501",NA,NA,"ACH-000291"
"3502",NA,NA,"ACH-000527"
"3503",NA,NA,"ACH-000443"
"3504",NA,NA,"ACH-002183"
"3505",NA,NA,"ACH-000023"
"3506",NA,NA,"ACH-002294"
"3507",NA,NA,"ACH-002298"
"3508",NA,NA,"ACH-000619"
"3509",NA,NA,"ACH-000144"
"3510",NA,NA,"ACH-000100"
"3511",NA,NA,"ACH-001650"
"3512",NA,NA,"ACH-001655"
"3513",NA,NA,"ACH-000221"
"3514",NA,NA,"ACH-000114"
"3515",NA,NA,"ACH-000652"
"3516",NA,NA,"ACH-001398"
"3517",NA,NA,"ACH-000424"
"3518",NA,NA,"ACH-000885"
"3519",NA,NA,"ACH-000716"
"3520",NA,NA,"ACH-000484"
"3521",NA,NA,"ACH-002206"
"3522",NA,NA,"ACH-000059"
"3523",NA,NA,"ACH-001002"
"3524",NA,NA,"ACH-000336"
"3525",NA,NA,"ACH-001443"
"3526",NA,NA,"ACH-001331"
"3527",NA,NA,"ACH-000228"
"3528",NA,NA,"ACH-000142"
"3529",NA,NA,"ACH-000516"
"3530",NA,NA,"ACH-002092"
