"","GSM8393322","GSM8393323","GSM8393324","GSM8393325","GSM8393326","GSM8393327","GSM8393328","GSM8393329","GSM8393330","GSM8393331"
"5S_rRNA",0,2.60542,0,0,0,0,0,0,0,0
"A1BG",26.195035,22.750238,22.994465,23.746062,28.966424,28.493433,23.36033,20.81681,27.430034,26.9771
"A1CF",0.0278215,0.1845922,0.0689806,0.16812210482047,0.1277227,0.00655904,0.0233336,0.03038543,0.0602198,0.1245573
"A2M",0,0,0,0,0,0,0.0104301,0,0,0.00959627
"A2ML1",0,0,0,0.0097748,0,0,0,0,0,0
"A2MP1",0,0,0.0445794,0,0.0139566,0,0,0.0138478,0.0141773,0.0113455
"A3GALT2",0,0,0,0,0,0,0,0,0,0
"A4GALT",14.9851472479,17.4672750054208,15.95095,17.2978400584371,16.72869017,10.263202,11.96017,12.54898215171,11.11413,10.567184
"A4GNT",0.737387,0.380473,0.59502,0.308233,0.525753,0.523247,0.247197,0.487022,0.714588,0.627557
"AAAS",76.60481,75.1874981053,74.537056,74.12391,71.6726800323163,64.43048475,66.211916,61.400044,60.28105999,65.40341
"AACS",19.1971,17.82,18.7327,18.7854,18.4952,23.5657,23.1237,24.0007,22.1308,22.4391
"AACSP1",0.2201348,0.204514,0.315107,0.389576,0.2240329,0.243605,0.0463025,0.228633,0.189525,0.3255233
"AADAC",7.81161,8.22473,10.68912,8.21981,7.73744,11.24266,10.23072,9.11726,8.8897,10.6692
"AADACL2",0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0
"AADACP1",1.52542,0.912006,2.35333,2.02299,0.538381,1.0615,2.00472,2.54943,1.66218,2.37906
"AADAT",5.61413,5.50759,5.153172,5.674583,4.35037,5.20977,5.440049,5.51216,6.693681,6.6072
"AAGAB",64.115,65.2621,66.9945,64.6576,60.7132,65.6447,69.4789,62.3594,61.1946,67.9388
"AAK1",10.137959,11.059126,10.411922,11.702984,9.96656279304,10.400254,11.683315,10.0674745,9.965902,11.503106
"AAMDC",24.430885,24.096738,28.671831,26.85712,25.947858,27.698263,24.097466,27.986953,24.50369,24.917243
"AAMP",99.47495,94.09121,99.07912,101.01242,102.37173,100.64374,97.15434,94.66236,94.11325,92.61538
"AANAT",0.1884434,0.3341483,0.33109,0.22914,0.210008,0.4101628,0.3487889,0.3095225,0.42554514009,0.2127276
"AAR2",25.42376,26.0434,26.070317,25.288502,24.95676,26.08156,26.08544,26.740213,25.86732,27.486242
"AARD",0.0642094,0.140203,0,0.0691392,0,0.136661,0.0509656,0.0553049,0.0362483,0.0784928
"AARS1",148.067,150.50066,153.7705,151.66754,152.29188,136.6284,139.70027,135.63512,128.79618,132.52629
"AARS1P1",0,0,0,0,0,0,0,0,0,0
"AARS2",5.29744,5.44573,4.854,5.03574,5.83605,5.16442,5.62458,5.57613,5.10406,5.13721
"AARSD1",34.0406,31.4424,32.8175,32.1567,36.2596,32.7872,34.4217,35.1874,32.1648,31.0235
"AARSD1P1",0.719843,0.244643,0.545375,0.496611,0.675516,0.4495,0.594376,0.502989,0.691047,0.825594
"AASDH",4.1152514,3.83003381,3.82455925,3.323577,3.019449,3.185255,3.190251,3.386728,3.30993300189455,3.661725
"AASDHPPT",24.521,24.6802,27.1594,25.9894,24.1601,23.0318,24.8347,23.6255,26.2232,23.9335
"AASS",0.0747674,0.0739592,0.0794952,0.0769998,0.144807,0.0775436,0.1097342,0.040497,0.123465,0.1386226
"AATF",97.712131,100.161898,106.032373,103.7,104.919458,112.933419,117.734442,117.034173,111.823219,109.896022
"AATK",0.191352,0.3785968,0.327965,0.54502,0.254317,0.473893,0.315404,0.3338378,0.428936,0.5201731
"ABAT",0.496763,0.38287,0.5909362,0.6220291255,0.395145,0.651514,0.72734,0.944666,0.306349,0.466926
"ABCA1",4.057559,3.71071,4.374059,4.111429,3.7049877,4.7024148,5.60814,4.957157,4.2115669,5.966541
"ABCA10",0,0,0,0,0,0,0,0,0,0
"ABCA11P",0.260496,0.11299,0.0717296,0.4118239,0.43379,0.389992,0.3573691,0.886497,0,0
"ABCA12",0.973894,0.907919,1.0626823,1.086024,2.021699,1.453011,1.714966,1.573617,1.691336,1.616119
"ABCA13",0,0,0,0,0,0,0,0,0,0
"ABCA15P",0,0,0.387764,0,0,0.158936,0,0,0,0.129012
"ABCA17P",0.793576,0.4941928,0.3576656,0.6182857,0.2370683,0.970838,1.4389081,1.3216773,0.0838209,1.3440664
"ABCA2",13.47304,14.69963,13.60471,14.46159,12.65589,10.959335,12.17796,12.050050000372,13.349268,12.25158
"ABCA3",12.174117,14.02198,12.674159,11.865152,13.263256,13.074401,13.233998,13.461676,13.62299,14.02422
"ABCA3P1",0,0,0,0,0,0,0,0.0635514,0.198572,0
"ABCA4",0.0173051,0,0.0152923,0.0648953,0.0944918,0.0187669,0.050055,0.0453765,0.019213,0.024771
"ABCA5",0.9413007,0.4427253,0.462681,0.896687,0.558033,0.496377,0.699185,0.4417809,0.2661308,0.705642
"ABCA6",0.0156687,0,0,0,0.0151335,0,0,0,0,0.0342397
"ABCA7",2.79317,2.29699,0.00909955,1.64164,2.25879,2.32515,0.14356,2.11182,3.24791,3.73753
"ABCA8",0.0387428,0,0.045106436,0.0564244,0,0.0607552,0.0139293,0,0.0493506,0
"ABCA9",0.1076166,0.3782631,0.2559848,0.1708087,0.2154272,0.5149157,0.27433037,0.1332789,0.154497,0.2267881
"ABCB1",0.0153107,0.0137535,0.0345697,0.0522617,0.0267652,0.0244783,0.0762834,0.0377484,0.0811934,0.0418372
"ABCB10",12.4257,12.3942,13.1904,11.8539,10.7355,11.3341,12.8234,10.9864,12.8211,14.1121
"ABCB10P1",0.0423386,0.0100643,0.0200302,0.0163144,0,6.32131e-07,0.0163872,0,0.032899,0.0174404
"ABCB10P3",0,0,0,0,1.23731e-06,0.0277799,0,0,0,0
"ABCB10P4",0,0,0,0,0,4.09163e-06,0,0,0,0
"ABCB11",0,0,0.00328558,0,0,0.00735107,0.00364285,0,0.00498423,0.00613212
"ABCB4",0,0,0,0.0486262,0.0470424,0.0311298,0.0409351,0.0777944,0.0349368,0.112008
"ABCB5",0.0641548,0.1832762,0.0692171,0.0581108,0.078246,0.0100676,0.00870414,0.0697654,0.0794546,0.1948243
"ABCB6",33.09344,33.7566,33.85042,35.28471,34.95328,35.18389,34.29416,33.28871,32.36738,31.09032
"ABCB7",17.893010162385,19.374169,18.033315,20.144377,15.911175171,18.2989340204883,17.347050132966,16.1323800226937,18.0154700765118,18.57151696233
"ABCB8",29.903187,35.44806,34.437174,33.92629,35.31224,29.7456,34.073849,35.16783,33.859365,34.5835
"ABCB9",2.74908100385799,3.285867,3.09139,3.3865220203944,3.456694,3.718127,2.879099,3.890186,4.093887,2.82884660047489
"ABCC1",50.4967,49.668300404425,49.2138000011449,47.692,48.463733638,42.9865,46.4646,44.0774,44.59,44.6778000575126
"ABCC10",3.991755,4.10508,3.751498,4.267523,4.18489,3.957574,4.12664,4.50048,4.413492,4.628528
"ABCC11",0.0176447,0,0.0469952,0.0123369,0.0128638,0.034790964258,0,0.0255266,0.023995569649,0.0247581
"ABCC12",0,0.00227523,0.0202913,0.0440556,0.0250856,0,0.0221351,0,0,0
"ABCC13",0,0,0,0,0,0,0,0,0,0
"ABCC2",66.73996,66.98295,92.54301,76.755872,61.90622,81.26578,76.62659,91.45207,89.2008,92.04551
"ABCC3",42.10438,49.29419,38.94906,44.84756,41.8243,47.59398,42.74138,39.72041,43.60629,44.84183
"ABCC4",13.25874,6.866696,15.500264,17.316282,9.4711512569,7.923788,9.82453000287017,15.220355,10.789899,5.137128
"ABCC5",5.784317,6.159945,7.359644,7.045381,5.967345,7.851123,8.094179,7.503442,7.370686,8.229307
"ABCC6",2.511795,1.948424,2.16681,2.768211,2.829813,2.230987,1.533682,2.266864,2.386789,2.315639
"ABCC6P1",0.257968,0.124675,0.0597712,0.2039465,0.209149,0.154104,0.0392389,0.1618583,0.144175,0.1251502
"ABCC6P2",1.521144,1.05147,1.06952,0,1.3299,0.158711,1.58107,0.430883,0.583568,1.2446395
"ABCC8",0.000374058,0.276149814,0.322501104926,2.87387e-06,0.0634048,0.2089852,0.000380794,0,0.149464,0.433002
"ABCC9",0.308522,0.276787,0.281267,0.291805,0.301692,0.252244,0.268295,0.393317,0.284669,0.225271
"ABCD1",9.35763,10.97359,10.1116,11.14568,9.5752,11.26021,10.37586,10.98788,10.66326,11.06618
"ABCD1P2",0,0,0,0,0,0,0,0,0,0
"ABCD1P3",0,0,0,0,0,0,0,0,0,0
"ABCD1P4",0,0.153684,0,0,0,0,0,0,0,0
"ABCD1P5",0,0,0,0,0,0,0,0,0,0
"ABCD2",0.00824512,0.0195141,0.021857,0.0157651,0.00899822,0,0.00795152,0.0178548,0,0
"ABCD3",44.7567,46.831,50.4914,43.8138,44.7527,37.8744,41.1205,37.5036,42.3024,40.6441
"ABCD4",2.119877,3.179095,2.303285,1.764071,1.074501,1.22038,3.517598,2.438105,1.422554,1.7026
"ABCE1",45.2381,40.7185,43.874,42.09,39.4625,38.0399,40.9243,39.4713,43.6169,43.027
"ABCF1",17.55903,14.44469,10.015452,15.337005,15.23061,15.54045136745,13.152485691,4.80154,4.113129287,12.96403180025
"ABCF2",24.7908,24.1039,24.4557,24.6195,25.2981,26.1827,25.978,25.1783,24.3366,26.044
"ABCF2-H2BK1",33.2274,33.6203,37.7952,37.2193,33.9641,37.702,36.6309,37.181,37.4616,33.4112
"ABCF2P1",0,0,0,0.0290553,0,0,0,0,0,0
"ABCF2P2",0,0,0,0,0,0,0,0,0,0
"ABCF3",21.5889664,21.21923,21.94723,21.90488,19.7858,22.89784,21.9098,24.8403945,22.6847000354766,23.8536
"ABCG1",4.6020415,5.541473178773,5.08128775355,4.9514333,5.383567,5.477757,5.344511,5.373144,5.70866000034552,4.8911332635
"ABCG2",15.0299,14.7388865,15.976766,14.715484,14.885796,11.802139,11.813171,12.3321424,11.832921,14.2885852
"ABCG4",0.428663,0.439459,0.373895,0.277159,0.3969675,0.374399,0.415848,0.2729629,0.427631,0.354302
"ABCG5",0,0,0,0,0,0,0,0,0,0
"ABCG8",0.0324423,0.0574563,0.0580744,0.0329329,0.0183099,0.0346884,0.0166466,0.0363696,0.0332089,0.0246224
"ABHD1",0,0.178447,0.567734,0.629304,0,0.280322,0.38618,0.11809,0.42042,0
"ABHD10",23.35356,19.81543,21.7785,21.70726,19.65264,19.83467,18.73435,20.02412,21.68681,20.36937
"ABHD11",7.522408,7.626975,5.656585,6.111007,6.56276,7.152697,6.03573,7.402388,7.194843,7.977906
"ABHD12",114.6774,109.16209,113.6816,110.5973,108.6784,121.3151,124.9838,123.7476,122.2598,120.9001
"ABHD12B",0,0.308253,0,0,0,0,0,0,0,0
"ABHD13",4.68538,4.34811,4.26172,4.50919,4.17049,4.44528,4.27207,4.57389,4.29948,5.08013
"ABHD14A",9.2992,8.629714,9.92568,11.1241,9.80115,9.498884,10.10214,9.444979,9.467733,8.310815
"ABHD14A-ACY1",0,0,0,0,0,0,0,0,0,0.248128
"ABHD14B",30.80568,31.89328,30.94309,32.207119,32.455329,29.30342,32.907957,27.222241,27.184876,30.655996
"ABHD15",25.911,25.7658,27.2122,26.203,27.057,25.041,28.0275,26.0462,25.3587,26.8144
"ABHD16A",9.21446,10.0952,8.40434,5.83091,8.30811,7.69818,8.98725,7.79135,7.95505,9.29818
"ABHD16B",4.37346,3.75674,4.14147,4.77575,4.95464,4.76597,4.44015,4.62124,5.18788,4.62515
"ABHD17A",25.384967,28.554866,27.53466,28.447476,26.474988,25.565666,26.96513,27.959925,29.617256,25.9532
"ABHD17AP1",0,0,0.0696361,0.0756661,0,0,0.0752926,0,0,0
"ABHD17AP3",0.0557205,0,0,0,0,0.0610121,0.0532678,0,0.0608754,0
"ABHD17AP4",0,0,0,0.0788215,0,0,0,0,0,0.143569
"ABHD17AP5",0,0,0.0705204,0,0,0,0,0.0864788,0,0
"ABHD17AP6",0,0,0,0,0,0,0,0,0,0
"ABHD17AP7",0,0,0,0,0,0,0,0,0,0
"ABHD17AP8",0,0,0,0,0,0,0,0,0,0
"ABHD17AP9",0,0,0,0,0,0,0,0,0,0
"ABHD17B",18.12631,15.01552,17.39007,15.17607,17.29634,16.63969,17.0455,16.44132,15.12205,15.67353
"ABHD17C",17.86075,12.198512,16.63859,15.2865,14.0088,14.99178,14.9926,14.57275,14.37321,13.7062706
"ABHD18",1.608079,1.358162,1.26863,2.113387,1.269154,1.406091,2.03132,1.874701,1.661832,1.796404
"ABHD2",33.761035,34.13182,35.5641,36.33726,34.24152,37.05633,39.44727,38.76981,37.77149,41.46795
"ABHD3",14.16181,12.180893,13.86202,14.609476,12.700639,16.59097,15.85384,15.98008,18.882438,17.642139
"ABHD4",29.277,29.3841,29.0127,27.563,26.379617,37.1436,35.5495,35.465465,36.12307,38.4006
"ABHD5",0.80910007,1.185967,2.104563,4.476043,3.323981,2.06906,4.048209,3.72835,3.197352,3.47358
"ABHD6",12.52735,11.568,11.17599,12.55779,11.05924,12.68761,12.17004,13.68136,14.04262,12.72511
"ABHD8",9.78575,9.65876,9.52548,8.64263,10.181,8.18135,7.63516,8.58557,8.27875,8.44365
"ABI1",40.508647,38.5046713,38.9720969,39.510716,41.552076,35.0227102,40.279592,39.476257,39.7452805,35.521429
"ABI1P1",0,0,0,0,0,0,0,0,0,0
"ABI2",7.899536471,7.247522,8.284759,8.9065890008054,9.250078,7.283492,8.03701285,7.519397,8.02072,8.0525304
"ABI3",0,0,0,0.062733,0.0771162,0.0710194,0.0590782,0.267896,0.0393282,0.0521629
"ABI3BP",0.0264067,0,0.0404368,0.0125983,0,0,0,0.0350142,0,0
"ABITRAM",13.911538,12.3855,13.911,15.114394,13.0352,12.1603,14.248457,14.592529,14.5954,14.982511
"ABITRAMP1",0,0,0,0,0,0,0,0,0,0.134746
"ABL1",41.7519,41.42376,40.47436,42.933,42.4371,37.29621,38.89398,38.69865,36.83346,39.3295
"ABL2",6.464565,6.612772,6.828391,7.18311,6.62271694508,6.3049708,6.33708000170899,6.16634100019784,6.324869,6.443413
"ABLIM1",24.74183,22.59102,24.00928,24.355947,21.864169,25.16842,26.90115,24.812672,23.851771,26.567096
"ABLIM2",0.1324044,0.481786400372894,0.32863,0.063972,0.277467,0.192839,0.3360934,0.369422,0.237691,0.2307845
"ABLIM3",1.26968354,0.969283,1.2960847,1.336994,0.3686096,1.186442,1.845853626108,1.5866387,2.328094,1.3753541
"ABO",0,0,0,0,0,0,0,0,0,0
"ABR",0,0,0,0,0,0,0,0,0,0
"ABRA",0.122055,0.0233346,0,0,0,0,0.0569481,0,0,0.0174897
"ABRACL",40.5226,42.9877,47.3843,44.6444,44.3857,44.0617,54.0097,48.22478,50.8278,56.961499
"ABRAXAS1",4.164092,4.335241,4.911753,4.286778,5.676105,3.195009,4.122049,1.720112,5.046536,4.214924
"ABRAXAS1P1",0,0,0,0,0,0,0,0,0,0
"ABRAXAS1P2",0.1254,0.214161,0,0.163103,0.18244,0.1328,0.15987,0.130576,0.371447,0.498604
"ABRAXAS2",13.2127,13.6217,14.6433,12.4866,13.035,13.9755,13.1964,13.0926,12.5246,14.1978
"ABT1",9.20144,11.5099,10.7229,11.5931,10.8301,10.2984,9.24259,10.9849,10.6053,9.75099
"ABT1P1",0,0,0,0,0,0,0,0,0,0
"ABTB1",11.463993,10.781647,11.821498,11.144872,12.741522,10.333511,10.809718,11.103519,9.29253450112,10.790842
"ABTB2",9.02085,9.8029,9.78247,8.96609,9.18236,11.595,10.7786,11.0065,10.7676,11.4416
"ABTB3",15.013325,14.954811,16.645887,16.0231767,14.8443741,15.8438966,15.377406,15.2518886,14.85848,14.626085
"ACAA1",31.048,35.1071,35.098018,32.289023,35.474607,33.193337,35.221956,32.1355,35.443829,31.062481
"ACAA2",56.94074,57.64174,60.52679,59.10889,59.09708,59.25368,56.82671,53.57273,59.34272,61.510413
"ACAA2P1",0.0667902,0,0,0.128657,0.0736943,0,0.0782603,0,0,0.117731
"ACACA",4.62869838508,4.474741,4.4423038208,3.769421,5.4606134425,3.7618440227,5.844167774441,3.601064868302,4.78174933432,4.44007395181
"ACACB",3.456104,3.916300822673,3.9302663663,4.216141,4.10842,3.840340113483,4.35620062257,4.0010965,3.507032,4.015650763219
"ACAD10",7.58376,8.71993,7.28565,8.22997,8.787531,7.58475,7.77214,7.74634,7.22664,6.881613
"ACAD11",7.91738,7.44393,6.0731,6.42428,6.79704,6.5296,7.65168,8.10607,6.82285,6.93662
"ACAD8",5.27131,5.718440139688,5.41538,4.96884,5.19604,6.08653,6.581262,7.13382,5.41708,7.018639
"ACAD9",22.3513,21.0174,21.5042,18.7392,20.8276,19.7917,19.1257,21.4414,17.8191,18.7176
"ACADL",0,0,0.0275591,0,0.143267,0,0,0,0,0
"ACADM",29.89365,22.60007,24.48317,28.46994,22.05653,19.67708,25.47102,25.496838,23.37568,21.47038
"ACADS",15.8228,15.370658,13.872,17.2242,16.904528,13.136406,14.082074,13.5447,14.4737,13.6065
"ACADSB",14.20016,15.99915,17.13428,15.75582,13.4418,15.44582,16.35996,13.6974,15.75694,15.44956
"ACADVL",124.39395,132.196488,130.88134,125.89555,121.16183,129.9924,137.421357,128.7357,129.129837,133.6388
"ACAN",0.0380835,0.090195,0.0112258,0.0121691,0.0138607,0,0,0.013747,0.0141675,0.034769960771401
"ACAP1",0.0671116,0.0557023,0.0854459,0,0.0393097,0.029481,0,0.332,0.028277,0
"ACAP2",5.99966,5.25415,6.28959,5.00545,5.529802,6.111346,5.707311,5.877366,5.70751,6.06048
"ACAP3",6.897604,5.15323,6.93,7.01729,7.21472,6.893736,6.511057,7.407167,7.50188,7.62747
"ACAT1",56.295092,57.607013,54.971132,55.903753,52.839723,53.525655,54.8313,53.075631,58.281949,57.1858
"ACAT2",20.0544,18.2184,19.4538,20.4962,19.9684,21.4379,22.2135,21.6498,20.7691,22.8743
"ACBD3",29.8949,26.9562,28.2853,28.3141,26.6248,32.2232,32.333,31.513,30.504,29.4967
"ACBD4",21.508642,23.658032,21.2312064,22.616528,25.207791,20.932637,21.450343,22.105922,21.18082,20.979398
"ACBD5",49.1809948087,44.91116,47.2484000017887,46.772263,49.1671,45.305071,48.05393,49.22349,45.81639,45.561478
"ACBD6",73.96546,72.3606,79.93905,78.72997,77.32579,75.92481,73.71357,69.79658,76.16925,72.25882
"ACBD7",1.69438,1.62576,1.49754,1.67148,1.53239,1.81916,1.82173,1.72763,1.52095,1.50859
"ACCS",7.08818,6.45818,7.69038,6.07725,6.16483,7.55072,6.5696,8.11771,7.19878,7.16452
"ACCSL",0,7.44025e-07,0,3.67059e-07,0,0,4.80285e-07,0,0,0
"ACCSLP1",0.0503338,0.0598641,0.0444899,0.0486021,0,0.10998,0.0969778,0,0.338148,0
"ACD",24.2797,22.7072,26.9702,25.319,26.8004,23.1359,23.1461664,20.492800306626,20.5609,23.54371
"ACE",0.22072,0,0,0,0.0463441,0.1400959,0.191069,0.1860008,0.343494,0.1837097
"ACE2",0,0,0,0,0,0,0,0,0,0
"ACE3P",0,0,0,0,0,0,0,0,0,0
"ACER1",0.0835814,0,0,0,0,0,0,0,0.0460783,0
"ACER2",2.11071,2.10743,1.84797,1.77974,2.156,1.88726,2.22338,2.13941,2.30133,1.89222
"ACER2P1",0,0,0,0,0,0,0,0,0,0
"ACER3",8.717342,9.68971,9.06159,8.16378,7.20043,7.44717,8.15876,7.60901,9.77385,8.43769
"ACHE",0.284819,0.0673087,0.270631,0.0967538,0.271314,0.2449002,0.3376828,0.211645196751,0.3054805,0.1398135
"ACIN1",43.733964,46.7626,44.2162800005571,46.837204,46.2364919,43.1242,42.412216864,46.3513225,45.326202,40.103133
"ACKR1",0,0,0,0.0515879967,0,0,0,0,0,0
"ACKR2",0.246196,0.230565,0.272496,0.0731692,0.103563,0.145691,0.246001,0.166424,0.125947,0.0997987
"ACKR3",0.809082,0.911087,0.953186,1.33187,1.00866,1.83149,1.79117,1.65453,2.06861,2.45779
"ACKR4",0.0881261,0.0696996,0.103844,0.028224,0,0.159713,0.0561947,0.0637327,0.0643957,0
"ACKR4P1",0,0,0,0,0,0,0.0579407,0,0.00210121,0
"ACLY",364.01095,364.85414,365.78593,371.72212,369.2604129125,398.68678,408.16974,399.6218,373.953200249534,389.669435
"ACMSD",0.448024,0.650113,0.466445,0.276741,0.544683,0.576237,0.296203,0.521298,0.590526,0.44834
"ACNATP",0,0,0.0870571,0,0,0,0,0.0267589,0,0
"ACO1",30.20715013,28.54928,30.41884,29.64655,29.025185,33.414786032,34.52554,32.478047236,32.35648,34.82945
"ACO2",50.93208,51.481173,54.19198,55.351436,57.65949,56.217535,56.913459,52.90919,54.38082,55.85191
"ACO2P1",0,0,0,0,0,0,0,0,0,0
"ACO2P2",0.0477103,0,0,0,0,0,0,0,0,0
"ACOD1",0,0,0,0,0,0,0,0,0,0
"ACOT1",10.9055,9.92379,10.837893,9.96721,11.65005,9.98721,8.9136,13,10.641,11.835275
"ACOT11",1.550477,1.717195,1.91289,2.32307,0.984227,1.747327,1.569645,1.847368,1.362818,1.57904
"ACOT12",0.0533743,0.0316504,0,0,0,0.0290021,0.0514492,0.0772337,0,0
"ACOT13",12.70208,11.86576,13.04653,12.10272,13.06762,14.35613,13.16695,14.14525,13.40988,13.97959
"ACOT2",60.4913,66.2857,61.496,60.4653,63.5711,61.4352,60.2744,59.9014,58.6149,58.9321
"ACOT4",1.18677,0.856824,0.987091,0.714425,1.34866,1.06237,0.695415,0.910016,0.750373,1.3036
"ACOT6",0.0432956,0,0.0382669,0,0.0689154,0,0,0,0.0967795,0
"ACOT7",71.214205,71.597392,70.910803,69.5426,74.107727,69.228501,67.490624,71.001173,72.465169,71.079719
"ACOT8",10.761674,12.399232,13.782255,12.321096,10.088005,12.190376,10.6529,12.637578,13.375497,11.814288
"ACOT9",35.421265,34.189148,32.032287,35.328568,38.495956,37.865609,40.382474,31.903074,34.983033,31.729549
"ACOX1",12.0494,11.51001,11.36992,13.52443,9.16804,13.64035,13.30952,14.58691,12.6517,13.32428
"ACOX2",0.291526,0.206323,0.781534,0.6691003,0,0.5731995,0.685356,0.49257,0.453435,0.249567
"ACOX3",7.70549,7.29491,8.261949,8.26323,6.990933,8.510801,8.197716,8.065261,7.106266,7.48817
"ACOXL",0.0463039,0.181297,0.1061209,0.0222118,0.138514,0.1831018,0.0512448,0.0830716,0,0.0546653
"ACP1",138.07418,130.38226,136.336057,135.813834,132.00381,131.8513846,137.234048,120.9254429,132.82144,135.139185
"ACP2",16.5291,16.4593,17.29438,16.6035,14.05704194,17.458014,17.5133242691,16.025518,16.33860153623,17.8467
"ACP3",0.0338055,0.0600687,0.0859511,0.0975867,0.0184584,0.0369007,0.115186,0.072973,0.0190885,0.119714
"ACP4",0.0439789,0.313597,0.038871,0.127205,0.288736,0.143937,0.0423738,0,0.147486,0.117576
"ACP5",0.5376422,0.563167,0.315028,0.3679963,0.464893,0.631173,0.5854814,1.0030001,0.0477233,0.7470678
"ACP6",2.878312,2.019364,2.529228,3.720326,2.936087,2.85081,3.708648,1.637955,2.5187887,3.558173
"ACP7",0,0,0.173288,0,0,0,0,0,0,0
"ACR",0.0650322,0.032507,0,0,0,0.0552241,0.0961663,0,0,0
"ACRBP",0.0980373,0,0,0.088862,0,0,0.0709839,0,0.0506832,0.183863
"ACRP1",0.101993,0,0,0,0,0,0.196226,0,0,0
"ACRV1",0.276768,0.0714825,0.1285455,0.4064448,0,0.0815095,0.231271,0.0813623,0.0278226,0
"ACSBG1",0.108138,0.0509327,0.123852,0.158717,0.0277698,0.0607584,0.0647376,0.08056,0.162411,0.07062191
"ACSBG2",0.0249962,0,0,0,0,0.087668,0,0,0,0
"ACSF2",23.346824,22.8778,24.932644,23.274884,22.9557,20.1114,21.0394,21.805641,20.397036,21.300677
"ACSF3",11.87728,13.07819,12.94902,11.772138,13.007775,11.915885,11.238141,12.156286,12.663653,12.655764
"ACSL1",15.573593,15.42733,14.92691,15.244769,16.457189,16.49616,18.274126,17.3784720003136,17.466655,17.568649
"ACSL3",87.8329,83.8962,91.7347,85.427,84.9657,92.5248,95.3523,95.2778,96.2611,101.5812
"ACSL3P1",0,0,0,0,0,0,0,0,0,0
"ACSL4",22.583329,21.829811,21.5083480003238,20.689139,20.7623037307,25.033454,26.04761,25.337264,24.59664,25.691224
"ACSL5",0.488329,0.346813,0.56966492546,0.288188,0.417903,0.4305012,0.42037254657,0.36392094344,0.56635199562,0.507051
"ACSL6",0,0.0277228,0.0215012,0,0,0.00297171,0.0383836,0.0358784,0.00171494,0
"ACSM1",0,0,0,0,0,0,0,0,0,0
"ACSM2A",0,0,0.0338366,0,0.0433528,0,0.0730133,0.0692506,0,0
"ACSM2B",0,0,0,0,0,0,0,0,0,0
"ACSM3",14.50444,15.90088,13.22375,15.1253,15.47214,10.21326,8.25601,9.66681,10.24535,12.52135
"ACSM4",0.025915,0,0,0,0,0.0281581,0.0249808,0,0,0
"ACSM5",0,0.184276,0.1564554,0,0,0.144269,0.148677,0,0.0608751,0.138234
"ACSM5P1",0.0224776,0,0,0,0,0.0244044,0,0,0,0
"ACSM6",0,0,0,0,0,0,0.0697759,0,0,0
"ACSS1",9.436269,10.403574,9.557033,10.315425,9.8245038,10.427512,11.400756,11.817054,10.758991,10.6350902
"ACSS2",9.59142,11.1515,11.8059,11.817341,11.3067,14.73669,15.282631,14.6063,12.8568,13.299633
"ACSS3",0,0,0.0108366,0.00774824,0,0,0,0.00878587,0,0
"ACTA1",0.21942,0.324939,0.242446,0.10607,0,0.3599469,0.264207,0.0848609,0.1843181,0.208862
"ACTA2",24.559347,25.32333,24.088833,26.22779,25.15548,31.32588,33.60491,33.19451,29.53486,31.13365
"ACTB",1756.71979028162,1682.14142694,1771.55699,1776.874382,1685.0982898697,1770.33241,1760.92606,1772.85942,1654.292066,1717.202517
"ACTBL2",0,0,0,0,0,0,0,0,0,0
"ACTBP1",0,0.0880405,0,0,0.0606007,0,0,0,0,0
"ACTBP11",0.163735,0.194891,0.144739,0.105505,0.059771,0.179065,0.105169,0.178002,0.0611511,0.146131
"ACTBP12",0,0,0,0,0.252285,0,0,0,0,0
"ACTBP14",0,0,0.100479,0,0,0.062184,0.0547432,0.061807,0,0.0507363
"ACTBP15",0.0587925,0,0.361092,0.170626,0.386353,0.19306,0.152151,0.319683,0,0.210001
"ACTBP16",0,0.207744,0,0,0,0,0,0,0.0652462,0
"ACTBP2",0.274518,0.130606,0.0970722,0.318201,0.120223,0.360273,0.21161,0.0596669,0,0.146925
"ACTBP6",0,0,0.0501827,0,0,0,0,0,0.0636714,0
"ACTBP7",0,0.173251,0.0714709,0.233547,0.0598706,0.0597881,0,0.0594414,0,0.0975763
"ACTBP8",0.111281,0,0.049184,0,0.0609349,0.182581,0.0535927,0.121,0,0.0496641
"ACTBP9",0,0,0,0,0,0.0614915,0,0,0,0
"ACTC1",0,0,0,0,0,0,0,0,0,0
"ACTE1P",0.0517808,0,0,0.2686917,0.0292354,0.0561905,0.099371,0.117126,0.0631112,0.0480033
"ACTG1",5243.156582,5345.5201,5180.60694,5471.867414,5271.55116,5586.891287,5384.232455,5622.035441,5166.78252,5375.887903
"ACTG1P1",0.163146,0.25884,0.384566,0.210231,0.655058,0.297318,0.261925,0.177355,0.24378,0.388237
"ACTG1P10",0.4886,0.656566,0.259439,0,0.502577,0.343269,0.612924,0.516238,0,0
"ACTG1P11",0.376799,0.552338,0.485086,0.385063,0.557424,0.626634,0.720407,0.385936,0.275455,0.382714
"ACTG1P12",0,0,0.0462103,0,0,0.0571363,0.0503605,0,0,0
"ACTG1P13",0,0,0,0,0,0,0,0,0,0.0535486
