"","GSM8393322","GSM8393323","GSM8393324","GSM8393325","GSM8393326","GSM8393327","GSM8393328","GSM8393329","GSM8393330","GSM8393331"
"ENSG00000290664",0,0,0,0,0,0,0,0,0,0
"ENSG00000290665",0,0,0.224143,0.124308,0.139358,0.140465,0.0375699,0,0,0
"ENSG00000290668",0,0,0,0,0,0,0,0,0,0
"ENSG00000290669",0,0,0,0,0,0,0,0,0,0
"ENSG00000290670",0,0,0,0,0,0,0,0,0,0
"ENSG00000290672",0,0,0,0,0,0,0,0,0,0
"ENSG00000290673",0.0175908,0.0256601,0.013777,0.0119394,0.0075386,0.00785497,0.0124822,0.0331369,0.010554,0.0137068
"ENSG00000290674",0.578001,1.00738,1.2023962,0.0889301,1.15309e-05,0.0150665,0.6597178,0.301578,0.0182078,0.042336
"ENSG00000290675",0,0,0,0.243111,0,0,0,0,0,0
"ENSG00000290677",0.0729433,0.238512,0.0822291,0.136883,0.033573,0.183609,0.0593651,0,0.0872292,0.156366
"ENSG00000290678",0,0,0,0,0,0,0,0,0.290486,0
"ENSG00000290685",0,0,0,0.0304506,0,0,0,0,0,0
"ENSG00000290690",0.419494,0.302996,0.452103,0.314708,0.221324,0.230249,0.297945,0.427737,0.382661,0.292835
"ENSG00000290692",14.08648,15.2661,13.92533,15.21163,15.96192,16.86499,18.6365,18.71242,21.9255,17.5311
"ENSG00000290694",0,0,0,0,0,0,0,0,0,0
"ENSG00000290695",0.0517534,0.0366076,0.0711836,0.0601754,0.0465395,0.0548077,0.0688486,0.0217623,0.0697359,0.0445602
"ENSG00000290698",0.0216622,0.0512794,0.2021157,0.0104249,0.0477431,0.0353499,0.0546081,0.0586445,0.0120115,0.05114234
"ENSG00000290700",0,0,0,0.208903,0,0.268573,0,0,0,0
"ENSG00000290701",0,0,0.0448461,0,0,0,0,0,0,0
"ENSG00000290702",0.19299,0.0458417,0.0341138,0.186338,0.18686,0.210289,0.0743889,0.125717,0.301612,0.0343721
"ENSG00000290703",0,0,0,0,0,0,0,0,0,0
"ENSG00000290704",0,0,0,0,0,0,0,0,0,0
"ENSG00000290705",0.143482,0.140581,0.0362999,0,0.0679801,0.112554,0,0.0676817,0.0217019,0.0172293
"ENSG00000290711",0,0,0,0,0,0.0331027,0.0814422,0.0643533,0.0294965,0.0599175
"ENSG00000290714",0.0738143,0,0,0,0,0,0,0,0,0
"ENSG00000290723",0.835067,0.285895,1.32277,1.01092,1.56071,0.971667,0.657675,0.495819,0.594927,1.25556
"ENSG00000290728",2.44548,3.31882,2.60603,2.62827,2.76238,3.13543,2.84985,2.97192,2.78848,3.95032
"ENSG00000290729",0.994104,1.04758,0.76539,0.847625,0.540765,1.00914,0.931393,0.472608,0.75911,1.06974
"ENSG00000290731",0,0,0,0,0,0,0,0,0,0
"ENSG00000290732",0,0,0,0,0,0,0,0,0,0
"ENSG00000290733",0,0,0,0,0,0,0,0,0,0
