"","V1","preds","genes","ModelID","StrippedCellLineName","LN_IC50"
"89",910617,0.8114318,"MDM2","ACH-000759","MDAMB175VII",4.140447
"90",912967,0.37330925,"MDM2","ACH-000465","SKMEL1",5.224461
"91",915317,0.7427366,"MDM2","ACH-001321","TT",5.507001
"92",915317,0.7427366,"MDM2","ACH-001321","TT",4.719879
"93",931767,0.6012981,"MDM2","ACH-000745","MOLP8",1.410759
"94",934117,0.80179775,"MDM2","ACH-000708","SNU283",4.836516
"95",936467,0.44442126,"MDM2","ACH-000429","A704",4.260622
"96",945867,0.50915813,"MDM2","ACH-000050","NCIH929",0.89509
"97",948217,0.72246337,"MDM2","ACH-000613","HOS",4.80698
"98",957617,0.7156136,"MDM2","ACH-000755","HCC2218",5.003994
"99",959967,0.8499589,"MDM2","ACH-000006","MONOMAC6",4.336738
"100",964667,0.6038281,"MDM2","ACH-000572","G361",4.429929
"101",976417,0.57909256,"MDM2","ACH-000358","NCIH69",6.271153
"102",985817,0.62724054,"MDM2","ACH-000955","SNU407",2.071031
"103",992867,0.624583,"MDM2","ACH-000875","NCIH2347",7.336531
"104",997567,0.59754086,"MDM2","ACH-000440","CA46",4.983386
"105",1011667,0.728119,"MDM2","ACH-000852","NCIH1435",4.964646
"106",1016367,0.62059987,"MDM2","ACH-000056","DOHH2",-0.387776
"107",1018717,0.94786143,"MDM2","ACH-000351","MKN1",6.094573
"108",1023417,0.8203333,"MDM2","ACH-000678","MKN7",6.739841
"109",1049267,0.8766137,"MDM2","ACH-000883","SW1783",6.22747
"110",1051617,0.66129845,"MDM2","ACH-000073","GRANTA519",2.153097
"111",1056317,0.6456461,"MDM2","ACH-000400","SKCO1",1.346782
"112",1061017,0.7593979,"MDM2","ACH-000107","CAPAN2",7.346377
"113",1093917,0.8183309,"MDM2","ACH-000451","NCIH2085",5.496095
"114",1103317,0.5073433,"MDM2","ACH-000772","TE441T",0.854535
"115",1126817,0.52024305,"MDM2","ACH-000457","CAL54",1.003625
"116",1138567,0.7947774,"MDM2","ACH-000157","A4FUK",4.003892
"117",1147967,0.44133344,"MDM2","ACH-000752","NCIH196",5.180775
"118",1159717,0.7869522,"MDM2","ACH-000058","ML1",5.963299
"119",1164417,0.48514307,"MDM2","ACH-000812","COLO783",5.049757
"120",1173817,0.7548044,"MDM2","ACH-000534","WSUDLCL2",3.295898
"121",1183217,0.6477038,"MDM2","ACH-000568","UACC812",3.152664
"122",1187917,0.8020402,"MDM2","ACH-000392","CALU3",6.076981
"123",1211417,0.58139527,"MDM2","ACH-000615","SKMEL28",5.713057
"124",1220817,0.8375251,"MDM2","ACH-000218","PL21",2.923368
"125",1232567,0.89340454,"MDM2","ACH-000574","FUOV1",6.015536
"126",1237267,0.8845673,"MDM2","ACH-000675","NCIH1734",4.34118
"127",1239617,0.87812304,"MDM2","ACH-000586","NCIH1876",5.020345
"128",1241967,0.74075484,"MDM2","ACH-000617","OVCAR4",5.628286
"129",1246667,0.6596706,"MDM2","ACH-000555","A498",3.954903
"130",1258417,0.8075705,"MDM2","ACH-000386","KG1",4.300503
"131",1260767,0.778912,"MDM2","ACH-000506","NCIH146",4.408538
"132",1263117,0.7149067,"MDM2","ACH-000628","NCIH596",6.391454
"133",1267817,0.67855793,"MDM2","ACH-000987","MEWO",6.502267
"134",1270167,0.562166,"MDM2","ACH-000449","MESSA",2.041389
"135",1272517,0.656739,"MDM2","ACH-000814","HS939T",2.626971
"136",1277217,0.7622205,"MDM2","ACH-000650","IGR37",5.5978
"137",1279567,0.85712796,"MDM2","ACH-000536","BT20",5.267914
"138",1284267,0.6711122,"MDM2","ACH-000112","SIGM5",3.348716
"139",1293667,0.60748976,"MDM2","ACH-000156","MHHCALL4",0.810161
"140",1307767,0.77487093,"MDM2","ACH-000062","RERFLCMS",3.418652
"141",1317167,0.6451571,"MDM2","ACH-000059","SUPB15",-0.51261
"142",1321867,0.74947447,"MDM2","ACH-000643","HDQP1",6.002282
"143",1326567,0.59670424,"MDM2","ACH-000136","CHP126",0.306392
"144",1338317,0.8259153,"MDM2","ACH-000816","NCIH524",3.416155
"145",1343017,0.7715125,"MDM2","ACH-000447","NCIH2228",6.051779
"146",1357117,0.6321734,"MDM2","ACH-000625","HEP3B217",3.829437
"147",1364167,0.79895717,"MDM2","ACH-000893","NCIH1651",5.297997
"148",1368867,0.812825,"MDM2","ACH-000927","BT474",6.487908
"149",1371217,0.8149415,"MDM2","ACH-000287","NUDUL1",2.668739
"150",1373567,0.60220766,"MDM2","ACH-000902","CAL148",0.982088
"151",1390017,0.71121013,"MDM2","ACH-000270","HPAC",7.215687
"152",1392367,0.7268454,"MDM2","ACH-000081","GDM1",0.37348
"153",1394717,0.6135019,"MDM2","ACH-000998","CW2",2.489004
"154",1397067,0.86169785,"MDM2","ACH-000105","ALLSIL",4.02208
"155",1406467,0.80937296,"MDM2","ACH-000803","COLO668",5.657778
"156",1408817,0.75333554,"MDM2","ACH-000254","SCC15",5.702445
"157",1420567,0.8074358,"MDM2","ACH-000357","JEKO1",3.772562
"158",1422917,0.55897844,"MDM2","ACH-000815","KMH2",2.248137
"159",1422917,0.55897844,"MDM2","ACH-000815","KMH2",4.151215
"160",1432317,0.6431891,"MDM2","ACH-001638","RCK8",1.047582
"161",1434667,0.8012768,"MDM2","ACH-001680","U698M",3.068154
"162",1437017,0.5871507,"MDM2","ACH-001704","VMRCMELG",1.933182
"163",1458167,0.78079075,"MDM2","ACH-001350","HTCC3",5.684334
"164",1462867,0.7101755,"MDM2","ACH-001519","HEMCSS",4.363129
