,0
SNRNP25,0.6773085594177246
SCAP,0.5962575674057007
ZNF236,0.5808642506599426
DLG5,0.5395323634147644
KPNA2,0.5239329934120178
KIF2C,0.5158230662345886
POLR1C,0.5156534314155579
AHR,0.5064752101898193
WDR36,0.4944455027580261
DDX27,0.4748745262622833
SUPT20H,0.4538560211658478
SUGT1,0.4534703195095062
PBRM1,0.4435197412967682
IRF2,0.4337795674800873
TAF1C,0.421253502368927
TADA1,0.40177658200263977
URM1,0.4016517996788025
HSPE1,0.40081721544265747
MRPS21,0.40017396211624146
CCNL1,0.3989589810371399
TP53,0.2872161567211151
