"","mean","sd","max","min"
"TINAG",0.0818313490814941,0.130228149575457,0.546310109,-0.57531495
"TINAGL1",-0.00823690407724958,0.11064379778041,0.394083235,-0.490505212
"TINF2",-1.35859139840492,0.438633959785616,-0.25166016,-3.500298226
"TIPARP",-0.351822067569609,0.324874993630638,0.449503295,-2.106136693
"TIPIN",-0.987821705459253,0.23856187288641,-0.143639268,-2.010054006
"TIPRL",-0.376047875400679,0.261108592434003,0.551485846,-1.808487387
"TIRAP",0.134451106684211,0.102756443432072,0.495160215,-0.423941159
"TJAP1",-0.151182464083192,0.107336735496983,0.291367984,-0.729164009
"TJP1",-0.178471375764856,0.147249415505233,0.677877848,-1.121737147
"TJP2",-0.00979925494312394,0.101510888940394,0.397876961,-0.382219517
"TJP3",-0.0166195676103565,0.147114979113453,0.725961546,-0.534533352
"TK1",-0.147740701886248,0.126379511484231,0.242337579,-1.004661104
"TK2",-0.056304535959253,0.165197767810498,0.743529596,-0.613326287
"TKFC",-0.176420971659593,0.108116791029634,0.20481023,-0.802232825
"TKT",-0.355251145785229,0.313500642492444,0.343915767,-1.644876914
"TKTL1",-0.0963383299159593,0.0953999031769945,0.332327811,-0.618979251
"TKTL2",0.0800078084066214,0.121449919687734,0.637953088,-0.374414669
"TLCD1",-0.361155663383701,0.158002197668288,0.446493763,-1.076244339
"TLCD2",0.00991027032937182,0.10566405359132,0.565452097,-0.437263617
"TLCD3A",0.0690594243913413,0.104960423506845,0.409463894,-0.321556824
"TLCD3B",-0.143535425684211,0.182304676527709,0.596405911,-0.871614072
"TLCD4",-0.0804962439125637,0.114134551207121,0.468352412,-0.751248078
"TLCD5",-0.00991890138370119,0.101749195758097,0.426243687,-0.456398295
"TLDC2",0.00428552488964346,0.0964900599791213,0.449154356,-0.347666916
"TLE1",0.0123115145500849,0.11859993987077,0.519492562,-0.54836204
"TLE2",0.0260487662334465,0.0933262792909446,0.482430821,-0.440180819
"TLE3",-0.0813946045348048,0.192112834004588,0.521438589,-1.844517394
"TLE4",0.00775502406112054,0.114356507737709,0.366285996,-1.071416559
"TLE5",-0.0427857333718166,0.117005898142025,0.464673153,-0.538034795
"TLE6",-0.0125139822427844,0.118594198610827,0.468711143,-0.459955274
"TLK1",-0.126401220178268,0.134820429766507,0.413875482,-1.391948449
"TLK2",-0.65875449034635,0.222853868583851,-0.003656426,-2.167742134
"TLL1",0.0951674035398981,0.110123951787892,0.760607341,-0.343036815
"TLL2",-0.0160660607157895,0.0749026134579123,0.25337578,-0.380614758
"TLN1",-0.348784935354839,0.305334396928204,0.646488114,-1.857680765
"TLN2",-0.0585766380594228,0.10253781697143,0.324977824,-0.577173333
"TLNRD1",-0.0123428742300509,0.122686109283952,0.539901945,-0.440334579
"TLR1",0.0474790589490662,0.111714556563966,0.490223754,-0.445051136
"TLR10",0.182997960352292,0.099022799885445,0.631910734,-0.288294778
"TLR2",0.0540029803098472,0.0921849490322304,0.516961057,-0.760435319
"TLR3",0.231221481006791,0.0956898733305928,0.848750739,-0.150767901
"TLR4",0.0401212211570458,0.0871345663190555,0.490964239,-0.302246194
"TLR5",-0.0229234658837012,0.104747928375633,0.791535321,-0.458848804
"TLR6",0.044253007139219,0.0987302064889934,0.46348897,-0.388350566
"TLR7",0.0199034172674024,0.106983301959751,0.643314445,-0.535267894
"TLR8",0.128490361267402,0.0897358195170047,0.5424064,-0.379830978
"TLR9",-0.0430022481859083,0.107408448184517,0.455382971,-0.399066865
"TLX1",0.0354356790441426,0.0924142345307142,0.396769818,-0.329891956
"TLX2",-0.0432709819949066,0.11838252855268,0.428500351,-1.029347589
"TLX3",-0.137185423183362,0.119594038993779,0.352848048,-0.636125097
"TM2D1",-0.178103867224109,0.170990843075984,0.338333081,-0.912277221
"TM2D2",-0.278948635575552,0.206196102942971,0.449829912,-1.089595976
"TM2D3",-0.151967376620543,0.179569040281832,0.589317016,-1.081685168
"TM4SF1",-0.0349942453845501,0.114465863922514,0.367011417,-0.441031394
"TM4SF18",-0.0803748191324278,0.115645819967923,0.426128432,-0.545812125
"TM4SF19",0.0273686630619694,0.093853601553803,0.400001779,-0.420286168
"TM4SF20",0.10197325266129,0.110583865246143,0.563883567,-0.320385158
"TM4SF4",-0.132395554079796,0.104018206175156,0.372612277,-0.617997267
"TM4SF5",0.0482868143633277,0.10675504747998,0.567110848,-0.36596599
"TM6SF1",0.0335070762971138,0.136960836431816,0.626577726,-0.484014628
"TM6SF2",-0.162704859308149,0.118209473561967,0.261820992,-0.692637927
"TM7SF2",-0.213276887941426,0.186594727346696,0.498879116,-1.108959463
"TM7SF3",-0.00507012638285229,0.0975674632913969,0.496359096,-0.445474368
"TM9SF1",-0.0832406127597623,0.106258674889121,0.267643719,-0.586018703
"TM9SF2",-0.132520977247029,0.184348032838748,0.435740492,-1.649925339
"TM9SF3",-0.10998552633107,0.206179387649229,0.913274892,-1.295731054
"TM9SF4",-0.161637815886248,0.13458272393865,0.335571011,-0.813052408
"TMA16",-0.744863131741087,0.224170206188187,-0.017894766,-1.519298494
"TMA7",-0.141939204338999,0.134479174798764,0.424060921,-0.820132242
"TMBIM1",-0.0483423020696095,0.0939040794611242,0.397115008,-0.380574964
"TMBIM4",-0.100956881157046,0.15117866736585,0.469144173,-0.732897267
"TMBIM6",-0.101941064120543,0.103309888753322,0.281780423,-0.640688075
"TMC1",0.0527556212359932,0.134796979548466,0.523711169,-0.569450356
"TMC2",-0.129600328314092,0.11329896639096,0.306874481,-0.605126962
"TMC3",0.0357950506188455,0.123395414446202,0.765284753,-0.373266906
"TMC4",-0.0570314336612903,0.109846875445621,0.415631674,-0.597100563
"TMC5",-0.0131035383302207,0.129061595972388,0.607681353,-0.55277948
"TMC6",-0.0963031587275043,0.103241543985997,0.270661001,-0.465349207
"TMC7",0.104950845377759,0.0938486254989956,0.516893669,-0.252257978
"TMC8",-0.134117425028014,0.116039203417414,0.189680276,-0.7341835
"TMCC1",0.0742107849159593,0.116043498663888,0.679760351,-0.518413061
"TMCC2",0.0258068751587436,0.112247005161377,0.51850227,-0.496211907
"TMCC3",0.0721711638013582,0.0948721936522819,0.44335624,-0.259226337
"TMCO1",0.199066190151862,0.0949292212362933,0.755333635,-0.444789605
"TMCO2",0.0613183119524618,0.100815086611612,0.520208287,-0.480568489
