ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
REACTOME_HIV_TRANSCRIPTION_ELONGATION,REACTOME_HIV_TRANSCRIPTION_ELONGATION,10,-0.469072331,-1.890219109,0.016393443,0.06211829,0.041660322,527,"tags=70%, list=41%, signal=42%",POLR2K/ELOB/ELOC/POLR2G/CDK7/POLR2H
REACTOME_HCMV_INFECTION,REACTOME_HCMV_INFECTION,38,-0.225238191,-1.79037942,0.016460905,0.062221417,0.041729486,485,"tags=63%, list=37%, signal=41%",NUP50/NUP35/TUBB4B/POM121C/NUP58/DYNLL1/SUZ12/H2AC15/NUP62/H2BC21/NDC1/UBAP1/HDAC3/H2BC15/H2BC9/H2BC13/H2AC20/H2AC17/H2BC6/H2BC11/DYNC1I2/VPS28/H2BC4
REACTOME_INFECTIOUS_DISEASE,REACTOME_INFECTIOUS_DISEASE,157,-0.184506713,-2.695366093,0.016666667,0.062787753,0.042109305,485,"tags=61%, list=37%, signal=43%",NUP50/NUP35/RPL28/TUBB4B/POM121C/VHL/NUP58/RPL22/AP2M1/IMPDH2/HGS/GTF2H4/DYNLL1/SUZ12/TAF2/H2AC15/ACTB/NUP62/TAF10/HMGA1/H2BC21/NPM1/NDC1/UBAP1/RPL10/CDC42/HDAC3/H2BC15/H2BC9/H2BC13/H2AC20/DDX5/PPIA/NMT1/ATP6V1H/SEM1/GTF2F2/ACTR2/H2AC17/POLR2K/XRCC5/H2BC6/RPL26/CHD4/H2BC11/RPLP1/ELOB/ELOC/GTF2E2/RPL37/RPL35/RPL7/RPL36A/PSMC2/RPS28/PSMA4/RPL30/SKP1/CPSF4/DYNC1I2/RPS5/VPS28/RPS17/RPS24/H2BC4/RPL13A/POLR2G/RPS27A/CDK7/POLR2H/RPL14/RPL24/RPL36/RPL37A/RPS14/RPL7A/RPL8/RPS7/BANF1/RPS16/RPS23/RPL32/RPS3/RPL6/RPL5/FAU/RPS19/RPL21/RPL23/RPS3A/RPS20/PSMB3/PSMA6/RPL17
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,13,0.451771778,1.817711875,0.016691958,0.062787753,0.042109305,437,"tags=77%, list=34%, signal=52%",BRAF/SHC1/SOS1/RAF1/MAPK1/NRAS/PIK3R1/PIK3CB/CHP1/PIK3CA
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN,ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN,12,0.457599077,1.788683048,0.016793893,0.062809319,0.042123769,223,"tags=58%, list=17%, signal=49%",KRT18/IRF4/HMBS/SHC1/CSH2/JUNB/CAP1
KEGG_TIGHT_JUNCTION,KEGG_TIGHT_JUNCTION,14,0.448896538,1.852467644,0.016819572,0.062809319,0.042123769,393,"tags=71%, list=30%, signal=50%",PTEN/CTNNA1/PARD3/PARD6B/PPP2R2A/CSNK2A1/NRAS/MYH9/CTNNB1/ACTG1
PID_AJDISS_2PATHWAY,PID_AJDISS_2PATHWAY,14,0.443422809,1.829879128,0.016819572,0.062809319,0.042123769,307,"tags=64%, list=24%, signal=50%",GNA13/CTNNA1/CDH1/PTPN1/CDH2/ARF6/CREBBP/EGFR/CTNNB1
REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,REACTOME_CELLULAR_RESPONSES_TO_EXTERNAL_STIMULI,170,-0.140322718,-2.136345989,0.016949153,0.063140698,0.042346012,794,"tags=78%, list=61%, signal=35%",MDM4/TXNRD1/COX7C/CDK6/E2F3/RBBP7/DNAJA1/COX19/PRDX1/POT1/COX4I1/MLST8/RPL26L1/EED/FZR1/LAMTOR3/RELA/ATF4/YWHAE/HIRA/TBL1XR1/COX6A1/UBE2S/LAMTOR4/WDR24/TFDP1/COX5A/COX11/COX6C/MT2A/MT1E/MIOS/RPL36AL/EP300/CUL3/H2AX/TUBA1C/NUP50/COX7B/NUP35/SKP2/RPL28/TUBB4B/RHEB/POM121C/VHL/NUP58/RPL22/H2AZ1/UBE2D3/CDK4/UBE2C/DYNLL1/CDC26/TGS1/SUZ12/NUP62/HMGA1/H2BC21/TERF2/CAPZB/NDC1/CYCS/RPL10/CDK2/HDAC3/H2BC15/H2BC9/H2BC13/ACTR1A/H2AC20/ATP6V1H/ANAPC2/SIN3A/SEM1/MDM2/ATP6V1C1/EP400/ATP6V1F/H2BC6/RPL26/DCTN6/H2BC11/RPLP1/ELOB/ELOC/EIF2S2/H3-3A/RPL37/RPL35/RPL7/RPL36A/PSMC2/RPS28/PSMA4/RPL30/SKP1/ANAPC1/DYNC1I2/RPS5/RPS17/RPS24/H2BC4/ATP6V1B2/RPL13A/RPS27A/RPL14/RPL24/RPL36/RPL37A/RPS14/RPL7A/RPL8/RPS7/RPA3/RPS16/RPS23/RPL32/RPS3/RPL6/RPL5/FAU/CDC27/RPS19/RPL21/RPL23/RPS3A/RPS20/PSMB3/PSMA6/RPL17
OSMAN_BLADDER_CANCER_DN,OSMAN_BLADDER_CANCER_DN,58,-0.189205691,-1.783194924,0.017045455,0.063194899,0.042382362,320,"tags=38%, list=25%, signal=30%",RPL37/RPL35/RPL36A/SAP30BP/SS18L2/RPS5/RPS17/RPS24/RPL13A/MARS1/RPL14/RPL24/RPL36/RPL7A/RPS7/RPS16/RPL32/RPS3/FAU/RPS3A/RPS20
RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN,RHEIN_ALL_GLUCOCORTICOID_THERAPY_DN,58,-0.205706787,-1.938711766,0.017045455,0.063194899,0.042382362,736,"tags=79%, list=57%, signal=36%",ELAVL1/ATP5MG/GPI/NDUFA8/AHCYL1/GCSH/UQCRC2/C1QBP/MRPL3/COX11/PRORP/ZWINT/CEP55/SSBP1/TUBA1C/SPCS2/RPL22/ATP5F1C/IMPDH2/VRK1/VDAC1/CDK4/DYNLL1/PAICS/SDHC/IARS2/HMGA1/NPM1/TPI1/TYMS/HNRNPC/CKS1B/PPIA/SERBP1/MCM4/RBM8A/CFAP298/INTS8/DUT/CCT8/EPRS1/MAD2L1/DARS1/RPL23/PSMA6
