ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,ids
REACTOME_SIGNALING_BY_FGFR4,REACTOME_SIGNALING_BY_FGFR4,11,0.576592296,2.138437905,0.004411765,0.026747405,0.01597159,373,"tags=82%, list=29%, signal=59%",GAB1/PIK3R1/BRAF/SHC1/MAPK1/NRAS/SOS1/PTPN11/PIK3CA,253
SENESE_HDAC1_TARGETS_DN,SENESE_HDAC1_TARGETS_DN,11,0.576497677,2.138086989,0.004411765,0.026747405,0.01597159,358,"tags=82%, list=28%, signal=60%",EIPR1/ROCK2/BCAR1/FDFT1/FGFR1/SOX2/GET1/RASA4/HDAC1,254
WP_MECHANOREGULATION_AND_PATHOLOGY_OF_YAPTAZ_VIA_HIPPO_AND_NONHIPPO_MECHANISMS,WP_MECHANOREGULATION_AND_PATHOLOGY_OF_YAPTAZ_VIA_HIPPO_AND_NONHIPPO_MECHANISMS,11,0.576303071,2.137365244,0.004411765,0.026747405,0.01597159,353,"tags=82%, list=27%, signal=60%",NF2/MAP4K4/CDH1/ITGB1/PAK2/CTNNA1/ITGB5/TEAD1/CTNNB1,255
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,29,-0.323230369,-2.21421785,0.004739336,0.027590392,0.01647496,469,"tags=72%, list=36%, signal=47%",SIN3A/ACTB/H2AC20/H2AX/H2AZ1/H2BC21/H2BC13/H2BC15/H2BC9/POLR1H/SAP30BP/H2BC11/CHD4/H2BC6/H3-3A/POLR2K/POLR2H/H2BC4/CDK7/POLR1F,256
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,REACTOME_MITOTIC_SPINDLE_CHECKPOINT,29,-0.281196729,-1.926275737,0.004739336,0.027590392,0.01647496,319,"tags=59%, list=25%, signal=45%",CENPO/CENPC/DYNLL1/CENPE/AHCTF1/ANAPC1/SGO1/ANAPC2/KNL1/MIS12/CDCA8/CENPK/MAD2L1/AURKB/DYNC1I2/CDC27,257
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN,BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN,31,-0.260787441,-1.840968717,0.004761905,0.027590392,0.01647496,672,"tags=81%, list=52%, signal=40%",ZWINT/CHTF18/CIT/DDX11/KIF18B/CLSPN/KIF14/UBE2C/KIF20A/CENPI/CENPO/CEP55/CENPE/NCAPG2/GINS4/SGO1/KNL1/MCM4/KIF4A/PKMYT1/AURKA/FANCI/CDCA8/AURKB,258
LEE_LIVER_CANCER_SURVIVAL_DN,LEE_LIVER_CANCER_SURVIVAL_DN,31,-0.261247263,-1.844214726,0.004761905,0.027590392,0.01647496,755,"tags=77%, list=58%, signal=33%",USP1/SNRPB2/KNTC1/CDK4/RPE/PTMA/NDC1/HNRNPC/CCNB1/DYNLL1/HNRNPA1/PFDN4/NPM1/CDCA8/LSM8/RPS5/RPS7/RPL35/RPL36A/RPS3/SNRPG/RPS3A/RPL17,259
WP_MRNA_PROCESSING,WP_MRNA_PROCESSING,31,-0.430719608,-3.040565609,0.004761905,0.027590392,0.01647496,267,"tags=71%, list=21%, signal=58%",CSTF2/CPSF1/NXF1/TRA2B/DHX16/PCBP2/SRSF10/CPSF4/YBX1/LSM7/SF3A3/SF3B5/SF3B4/SRSF3/SNRPG/SNU13/SNRPA1/LSM2/PHF5A/SNRPD1/SRP54,260
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP,HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP,30,-0.29182617,-2.027077695,0.004784689,0.027590392,0.01647496,672,"tags=83%, list=52%, signal=41%",KPNA2/TUBB3/CIT/IPO5/TRIP13/UBE2S/UBE2C/KIF20A/LIG1/TUBB4B/H2AX/NCAPH2/CCNB1/DBF4/PPP1CA/CKS1B/CENPE/SGO1/KIF4A/HAUS6/AURKA/AARS1/AURKB/KIF23,261
REACTOME_MITOTIC_PROPHASE,REACTOME_MITOTIC_PROPHASE,30,-0.310772337,-2.158681218,0.004784689,0.027590392,0.01647496,461,"tags=70%, list=36%, signal=46%",NUP50/NUMA1/NUP35/NDC1/H2AC20/NCAPD3/H2AX/NCAPH2/H2AZ1/H2BC21/CCNB1/H2BC13/H2BC15/H2BC9/NCAPG2/H2BC11/H2BC6/H3-3A/H2BC4/BANF1,262
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,30,-0.274384602,-1.905925389,0.004784689,0.027590392,0.01647496,689,"tags=60%, list=53%, signal=29%",TUBB4B/CENPI/CENPO/CENPC/CCNB1/DYNLL1/CENPE/AHCTF1/SGO1/KNL1/RAD21/MIS12/CDCA8/CENPK/MAD2L1/AURKB/DYNC1I2,263
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA,47,0.309498724,2.103848144,0.004884005,0.027590392,0.01647496,785,"tags=89%, list=60%, signal=37%",NDUFC1/NDUFA3/NDUFA10/NDUFV2/NDUFA2/NDUFS8/NDUFS3/NDUFC2/NDUFB8/NDUFA8/UQCRB/UQCR10/NDUFS2/NDUFB7/NDUFB2/NDUFB6/COX4I1/NDUFA1/NDUFS7/NDUFB3/NDUFA6/NDUFS1/NDUFB10/NDUFS5/SDHD/COX11/COX6A1/COX5A/NDUFA9/UQCRC2/ATP5MG/NDUFA4/ATP5ME/NDUFB9/COX7B/COX6C/ATP5F1C/ATP5PO/COX7C/SDHC/ATP5PB/COX17,264
